player,tm,pos,g,mp,g_2,mp_2,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,link,season
Trena Trice,NYL,F-C,28,340,28,340,12.9,0.599,0.565,0.087,0.489,11.6,12.3,1.2,1.4,2.2,26.4,20.1,92,90,0.4,0.5,0.9,0.11,/wnba/players/t/tricetr01w.html,1997
Chantel Tremitiere,SAC,G,28,1051,28,1051,8.8,0.45,0.37,0.189,0.459,2.9,6.8,23,2.8,0.1,34.1,15.2,79,101,-0.9,-0.3,-1.1,-0.042,/wnba/players/t/tremich01w.html,1997
Penny Toler,LAS,G,28,907,28,907,16.2,0.489,0.436,0.112,0.257,3.6,6.3,29.5,2.1,0.3,22.1,23.6,92,95,1.4,0.7,2.1,0.093,/wnba/players/t/tolerpe01w.html,1997
Michele Timms,PHO,G,27,966,27,966,16.1,0.478,0.419,0.481,0.353,2.8,6.3,29.2,3.9,0.3,19,19.6,96,86,1.8,2.1,3.9,0.163,/wnba/players/t/timmsmi01w.html,1997
Tina Thompson*,HOU,F,28,885,28,885,18.6,0.524,0.476,0.314,0.252,9.8,13.7,7.7,1.3,2.7,14.9,22,105,92,3.2,1.1,4.3,0.195,NA,1997
Sheryl Swoopes*,HOU,F-G,9,129,9,129,26.6,0.541,0.509,0.302,0.264,6,7.7,12.7,3,2.6,6.3,22.9,118,92,0.7,0.2,0.9,0.283,NA,1997
Tora Suber,CHA,G,28,475,28,475,10.7,0.52,0.477,0.537,0.38,1.3,5.5,21.1,1.5,0.5,28.8,17.7,87,95,0.2,0.4,0.5,0.044,/wnba/players/s/suberto01w.html,1997
Andrea Stinson,CHA,G,28,1011,28,1011,20.4,0.504,0.479,0.194,0.225,6.1,9.5,26.3,2.3,1.7,18.5,25.1,96,92,2.4,1.4,3.8,0.151,/wnba/players/s/stinsan01w.html,1997
Raegan Scott,UTA,F-C,8,43,8,43,16,0.432,0.385,0,0.154,10.3,9.4,4.9,1.2,5.5,0,14.4,109,102,0.1,0,0.1,0.092,/wnba/players/s/scottra01w.html,1997
Jenny Boucek,CLE,G,10,112,10,112,1,0.498,0.467,0.2,0.467,3.7,5.8,13.9,2.9,0,54.9,16.7,54,94,-0.5,0.1,-0.4,-0.158,/wnba/players/b/bouceje01w.html,1997
Andrea Congreaves,CHA,F-C,28,658,28,658,16.8,0.621,0.571,0.349,0.444,7.8,12.6,11.4,1.3,0.6,17.1,13.1,117,92,2.3,0.8,3.1,0.191,/wnba/players/c/congran01w.html,1997
Megan Compain,UTA,G,5,19,5,19,3.2,0.357,0.357,0.571,0,0,15.2,21.7,11.2,4.2,46.2,30.5,44,72,-0.2,0.1,-0.1,-0.241,/wnba/players/c/compame01w.html,1997
Katrina Colleton,LAS,F,28,613,28,613,11.5,0.489,0.472,0.198,0.238,5.3,5.9,12.2,3,1.1,20.1,12.6,94,93,0.6,0.6,1.2,0.081,/wnba/players/c/colleka01w.html,1997
Margold Clark,SAC,F-C,4,46,4,46,4.1,0.509,0.5,0.167,0.333,0,8.2,3.9,1.2,1.7,22.5,8.6,86,101,0,0,0,-0.007,/wnba/players/c/clarkma01w.html,1997
Daedra Charles,LAS,F-C,28,282,28,282,9.6,0.435,0.403,0.015,0.224,7.3,10.3,7.1,1.8,2.8,16,13.8,89,92,0.1,0.4,0.5,0.071,/wnba/players/c/charlda01w.html,1997
Deborah Carter,UTA,G-F,18,286,18,286,9.9,0.422,0.391,0.09,0.179,8.5,9.9,5.8,2.4,0.3,14.3,15.3,87,101,0.1,-0.1,0,0.005,/wnba/players/c/cartede01w.html,1997
Latasha Byears,SAC,G-F,28,656,28,656,19.2,0.51,0.462,0.024,0.33,16.1,18.5,15.4,3.2,1,21.9,20.9,97,96,1.5,0.4,1.9,0.116,/wnba/players/b/byearla01w.html,1997
Linda Burgess,LAS,F,28,492,28,492,17,0.584,0.544,0.015,0.363,12.1,14.4,3.4,2.1,2.1,23.1,18.3,98,91,1,0.7,1.7,0.139,/wnba/players/b/burgeli01w.html,1997
Heidi Burge,LAS,F-C,22,282,22,282,12.7,0.474,0.444,0.056,0.625,10.5,14.8,9.2,2.2,3.3,21.4,18.4,88,89,0.1,0.5,0.7,0.094,/wnba/players/b/burgehe01w.html,1997
Vicky Bullett,CHA,F,28,875,28,875,22.1,0.5,0.458,0.071,0.247,9.6,12.7,15.6,3.4,5.2,15.9,23.2,98,86,2.2,2,4.2,0.193,/wnba/players/b/bullevi01w.html,1997
Rushia Brown,CLE,F,28,511,28,511,20.2,0.579,0.52,0,0.52,12.8,14.3,7.6,3.6,2.3,15.2,16.3,113,88,2,1,2.9,0.229,/wnba/players/b/brownru01w.html,1997
Janice Braxton,CLE,F,25,822,25,822,19.2,0.528,0.429,0.047,0.654,6.3,14.8,11.2,2.4,2.8,16.3,18.4,104,88,2.4,1.6,3.9,0.191,/wnba/players/b/braxtja01w.html,1997
Cynthia Cooper*,HOU,G,28,982,28,982,32.2,0.629,0.553,0.399,0.49,4.3,7.5,31.4,3.4,0.5,18.1,28.7,119,92,8.1,1.3,9.4,0.385,NA,1997
Karen Booker,UTA,C,26,321,26,321,7.6,0.4,0.333,0.05,0.617,11.7,14.4,14.2,4,3.7,39.1,17.4,65,93,-1,0.4,-0.7,-0.084,/wnba/players/b/bookeka01w.html,1997
Ruthie Bolton,SAC,G,23,813,23,813,23.6,0.51,0.483,0.471,0.169,4.6,10.4,17.2,3.6,0.1,11.7,27.3,105,97,3.5,0.3,3.8,0.187,/wnba/players/b/boltoru01w.html,1997
Rhonda Blades,NYL,G,28,290,28,290,6.1,0.508,0.479,0.771,0.286,2.5,4.4,19.3,2.6,0.3,33.1,18.3,79,91,-0.3,0.4,0.1,0.017,/wnba/players/b/bladerh01w.html,1997
Ryneldi Becenti,PHO,G,1,8,1,8,0,NA,NA,NA,NA,0,0,0,6.7,0,100,5.6,0,85,0,0,0,-0.09,/wnba/players/b/becenry01w.html,1997
Elena Baranova,UTA,F,28,913,28,913,18,0.476,0.45,0.32,0.187,6.7,13,15.2,2.5,5.4,18.6,21.5,90,95,0.8,0.8,1.5,0.067,/wnba/players/b/baranel01w.html,1997
Marlies Askamp,PHO,C,28,517,28,517,18.2,0.482,0.393,0.006,0.522,14.9,17.3,10,2.3,1.5,17.4,23.1,96,86,1.1,1.2,2.3,0.18,/wnba/players/a/askamma01w.html,1997
Katasha Artis,CHA,F,20,113,20,113,3.3,0.354,0.25,0.063,0.938,1.1,8.8,11.7,2.9,0.7,34.7,14.5,60,89,-0.4,0.2,-0.2,-0.057,/wnba/players/a/artiska01w.html,1997
Janeth Arcain,HOU,G,28,784,28,784,18.2,0.531,0.458,0.132,0.34,6.8,9.3,12,3.1,0.4,18.9,21.2,102,92,2.3,1,3.3,0.169,/wnba/players/a/arcaija01w.html,1997
Yvette Angel,SAC,G,5,90,5,90,7.8,0.404,0.438,0.313,0.188,2.7,6.3,22.4,2.4,0.9,31.6,12.6,75,102,-0.1,0,-0.1,-0.061,/wnba/players/a/angelyv01w.html,1997
Monique Ambers,PHO,F,19,85,19,85,6.1,0.449,0.444,0,1.667,13.8,14.5,8.8,0,2,31,12,81,92,0,0.1,0.1,0.038,/wnba/players/a/ambermo01w.html,1997
