player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Candace Parker,LAS,F-C,31,949,949,4.5,9,50,30,33,6,69,NA,326,21,15,/wnba/players/p/parkeca01w.html,2018
Karlie Samuelson,LAS,F,20,84,84,-3.5,-5.7,2,1,9,0,0,NA,16,0,0,/wnba/players/s/samueka01w.html,2018
Odyssey Sims,LAS,G,34,867,867,4.9,8.4,28,13,18,7,37,NA,216,9,16,/wnba/players/s/simsod01w.html,2018
Maria Vadeeva,LAS,C,25,204,204,0.8,-1.2,4,5,25,3,4,NA,27,2,2,/wnba/players/v/vadeema01w.html,2018
Sydney Wiese,LAS,G,11,36,36,-13.3,-15.5,1,0,4,0,0,NA,4,0,0,/wnba/players/w/wiesesy01w.html,2018
Riquna Williams,LAS,G,33,546,546,2.6,1.2,8,4,19,3,14,NA,49,5,3,/wnba/players/w/williri02w.html,2018
Lindsay Allen,LVA,G,24,358,358,1.3,2.2,16,3,5,0,6,NA,153,3,3,/wnba/players/a/allenli01w.html,2018
Kelsey Bone,LVA,C,32,344,344,-11,-14.4,8,10,27,5,9,NA,81,4,5,/wnba/players/b/boneke01w.html,2018
Nia Coffey,LVA,F,28,386,386,-3.9,-5,9,7,22,12,34,NA,42,6,18,/wnba/players/c/coffeni01w.html,2018
Dearica Hamby,LVA,F,33,474,474,3.7,6.3,6,13,24,7,31,NA,88,8,16,/wnba/players/h/hambyde01w.html,2018
Sequoia Holmes,LVA,G,3,20,20,-19.8,-19.8,1,0,0,0,1,NA,4,1,0,/wnba/players/h/holmese01w.html,2018
Moriah Jefferson,LVA,G,16,251,251,-6.3,-7.4,9,7,5,0,11,NA,78,3,7,/wnba/players/j/jeffemo01w.html,2018
Raigyne Louis,LVA,G,2,21,21,-0.7,-0.4,1,3,1,0,2,NA,3,1,1,/wnba/players/l/louisra01w.html,2018
Kayla McBride,LVA,G,31,1000,1000,-0.6,-1.2,35,19,11,4,53,NA,231,17,19,/wnba/players/m/mcbrika01w.html,2018
Jaime Nared,LVA,G-F,31,283,283,8.5,10.9,9,4,14,2,12,NA,29,0,2,/wnba/players/n/naredja01w.html,2018
JiSu Park,LVA,C,32,417,417,-1.9,-2.4,10,6,29,5,6,NA,65,3,8,/wnba/players/p/parkji01w.html,2018
Kelsey Plum,LVA,G,31,790,790,-1,-1.9,21,8,24,4,17,NA,265,2,10,/wnba/players/p/plumke01w.html,2018
Shoni Schimmel,LVA,G,2,13,13,66.7,67.2,0,0,0,0,0,NA,2,0,1,/wnba/players/s/schimsh01w.html,2018
Carolyn Swords,LVA,C,26,375,375,6.4,9.4,7,5,23,8,8,NA,48,2,6,/wnba/players/s/swordca01w.html,2018
A'ja Wilson,LVA,F,33,1010,1010,0.5,3.5,15,16,48,8,118,NA,160,26,50,/wnba/players/w/wilsoa01w.html,2018
Tamera Young,LVA,F,33,881,881,-0.2,0.2,39,13,23,3,44,NA,194,8,26,/wnba/players/y/youngta01w.html,2018
Seimone Augustus,MIN,G-F,33,864,864,2.8,5.3,27,8,16,2,9,NA,184,1,1,/wnba/players/a/augusse01w.html,2018
Rebekkah Brunson,MIN,F,25,691,691,3.4,5,17,7,23,9,23,NA,130,5,10,/wnba/players/b/brunsre01w.html,2018
Sydney Colson,MIN,G,2,17,17,0,-0.9,4,0,1,0,0,NA,9,0,0,/wnba/players/c/colsosy01w.html,2018
Temi Fagbenle,MIN,C,30,283,283,-9.6,-13.3,6,5,14,4,11,NA,37,3,11,/wnba/players/f/fagbete01w.html,2018
Sylvia Fowles,MIN,C,34,1087,1087,4.5,18.2,28,31,39,19,75,NA,164,19,40,/wnba/players/f/fowlesy01w.html,2018
Alexis Jones,MIN,G,26,229,229,-13.5,-17.2,10,4,14,1,5,NA,42,2,6,/wnba/players/j/jonesal01w.html,2018
Lynetta Kizer,MIN,F,14,78,78,8.2,7.7,2,0,5,2,1,NA,18,1,3,/wnba/players/k/kizerly01w.html,2018
Erlana Larkins,MIN,F,13,168,168,-1.7,-3,5,0,10,2,2,NA,40,1,3,/wnba/players/l/larkier01w.html,2018
Endy Miyem,MIN,F,20,101,101,-6.7,-8.2,0,2,8,1,1,NA,14,1,1,/wnba/players/m/miyemen01w.html,2018
Maya Moore,MIN,F,34,1081,1081,4.7,19,36,19,19,2,40,NA,189,8,6,/wnba/players/m/moorema01w.html,2018
Danielle Robinson,MIN,G,28,521,521,0.5,-0.7,32,12,7,4,19,NA,217,3,7,/wnba/players/r/robinda01w.html,2018
Lindsay Whalen*,MIN,G,32,617,617,3.1,4,20,10,11,5,17,NA,221,4,11,NA,2018
Tanisha Wright,MIN,G,33,586,586,-6,-12.1,25,10,21,6,13,NA,149,4,10,/wnba/players/w/wrighta01w.html,2018
Cecilia Zandalasini,MIN,F,29,478,478,-2.7,-5.5,13,7,23,2,11,NA,72,2,10,/wnba/players/z/zandace01w.html,2018
Rebecca Allen,NYL,G,28,291,291,4.6,19.6,6,1,14,5,11,NA,19,1,4,/wnba/players/a/allenre01w.html,2018
Brittany Boyd,NYL,G,30,613,613,-9.8,2,54,19,27,6,26,NA,366,5,9,/wnba/players/b/boydbr01w.html,2018
Tina Charles,NYL,C,33,1088,1088,-9.9,5.5,40,15,28,17,46,NA,204,15,20,/wnba/players/c/charlti01w.html,2018
Marissa Coleman,NYL,G-F,21,384,384,-10.8,0.1,4,6,10,2,4,NA,50,0,5,/wnba/players/c/colemma01w.html,2018
Bria Hartley,NYL,G,34,806,806,-12.9,-4.7,43,16,34,2,31,NA,275,10,15,/wnba/players/h/hartlbr01w.html,2018
Kia Nurse,NYL,G,34,774,774,-11.1,-0.4,11,7,21,5,26,NA,126,5,16,/wnba/players/n/nurseki01w.html,2018
Epiphanny Prince,NYL,G,16,305,305,-19.2,-10.6,6,5,7,6,10,NA,67,5,4,/wnba/players/p/princep01w.html,2018
Sugar Rodgers,NYL,G,31,608,608,-15.9,-9,21,10,43,0,6,NA,135,2,8,/wnba/players/r/rodgesu01w.html,2018
Kiah Stokes,NYL,C,30,427,427,-12.2,-1.8,8,4,38,7,6,NA,27,1,6,/wnba/players/s/stokeki01w.html,2018
Kia Vaughn,NYL,C,29,532,532,-10.7,0.4,6,5,23,11,12,NA,46,2,11,/wnba/players/v/vaughki01w.html,2018
Amanda Zahui B.,NYL,C,29,460,460,-14.4,-5.1,16,9,25,14,17,NA,52,6,14,/wnba/players/z/zahuiam01w.html,2018
Shavonte Zellous,NYL,G,22,531,531,-6.9,6.6,12,4,24,3,24,NA,151,10,7,/wnba/players/z/zellosh01w.html,2018
DeWanna Bonner,PHO,F-G,34,1120,1120,5,10.2,29,15,35,1,56,NA,249,18,23,/wnba/players/b/bonnede01w.html,2018
Brittney Griner,PHO,C,34,1108,1108,5.2,10.9,24,14,40,26,89,NA,174,25,20,/wnba/players/g/grinebr01w.html,2018
Marie Gulich,PHO,C,23,115,115,-17.8,-22.5,7,2,12,2,3,NA,4,0,4,/wnba/players/g/gulima01w.html,2018
