player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Natalie Achonwa,IND,F,18,364,364,-15.8,-9.9,14,9,26,8,19,NA,73,6,11,/wnba/players/a/achonna01w.html,2020
Julie Allemand,IND,G,22,716,716,-12.9,-15.1,40,11,42,0,9,NA,294,1,4,/wnba/players/a/allemju01w.html,2020
Kennedy Burke,IND,G-F,22,403,403,-11.5,-2.7,14,8,15,4,17,NA,56,2,9,/wnba/players/b/burkeke01w.html,2020
Lauren Cox,IND,F,14,183,183,2.6,15.7,8,3,18,0,7,NA,42,1,1,/wnba/players/c/coxla01w.html,2020
Kathleen Doyle,IND,G,18,155,155,-8.8,1.5,14,4,11,0,2,NA,41,0,2,/wnba/players/d/doyleka01w.html,2020
Candice Dupree,IND,F,22,665,665,-12,-8,18,6,19,2,23,NA,131,7,8,/wnba/players/d/dupreca01w.html,2020
Teaira McCowan,IND,C,22,461,461,-7.3,5.8,8,10,36,11,29,NA,35,4,14,/wnba/players/m/mccowte01w.html,2020
Kelsey Mitchell,IND,G,22,706,706,-9.9,0.3,16,22,29,7,32,NA,146,9,11,/wnba/players/m/mitchke01w.html,2020
Tiffany Mitchell,IND,G,19,502,502,-7.2,6.6,17,17,21,3,31,NA,108,10,10,/wnba/players/m/mitchti01w.html,2020
Kamiah Smalls,IND,G,7,100,100,-9.9,0.1,1,1,1,0,1,NA,31,0,3,/wnba/players/s/smallka01w.html,2020
Victoria Vivians,IND,G,6,85,85,1.1,12.3,4,0,8,0,4,NA,7,2,2,/wnba/players/v/viviavi01w.html,2020
Kristine Anigwe,LAS,F-C,17,197,197,7,1.2,4,7,11,2,14,NA,8,4,6,/wnba/players/a/anigwkr01w.html,2020
Seimone Augustus,LAS,G-F,21,332,332,9.2,5,2,5,10,0,3,NA,57,0,0,/wnba/players/a/augusse01w.html,2020
Te'a Cooper,LAS,G,20,345,345,6,-0.1,14,10,18,2,17,NA,95,5,6,/wnba/players/c/coopete01w.html,2020
Chelsea Gray,LAS,G,22,679,679,6.6,2.1,42,11,20,5,20,NA,266,10,7,/wnba/players/g/graych01w.html,2020
Reshanda Gray,LAS,F,10,62,62,12.9,7.3,2,1,2,5,4,NA,7,0,3,/wnba/players/g/grayre01w.html,2020
Marie Gulich,LAS,C,12,119,119,-7.4,-15.7,2,2,11,1,2,NA,19,1,1,/wnba/players/g/gulima01w.html,2020
Nneka Ogwumike,LAS,F,18,476,476,6.3,0.4,11,8,13,7,24,NA,73,7,9,/wnba/players/o/ogwumnn01w.html,2020
Candace Parker,LAS,F-C,22,665,665,8.2,8.1,35,19,22,5,36,NA,236,8,6,/wnba/players/p/parkeca01w.html,2020
Tierra Ruffin-Pratt,LAS,G,17,251,251,2.7,-4.7,4,3,10,1,9,NA,36,0,2,/wnba/players/r/ruffiti01w.html,2020
Brittney Sykes,LAS,G,21,517,517,9.7,8.5,19,9,20,7,25,NA,106,2,6,/wnba/players/s/sykesbr01w.html,2020
Sydney Wiese,LAS,G,19,363,363,5.4,-1.3,14,7,10,0,8,NA,51,4,3,/wnba/players/w/wiesesy01w.html,2020
Riquna Williams,LAS,G,21,444,444,0.5,-11.2,11,3,20,4,5,NA,67,1,2,/wnba/players/w/williri02w.html,2020
Lindsay Allen,LVA,G,21,284,284,3.7,-11.1,12,1,11,1,5,NA,111,2,7,/wnba/players/a/allenli01w.html,2020
Cierra Burdick,LVA,F,13,28,28,-25.6,-37.9,1,0,2,0,0,NA,4,0,0,/wnba/players/b/burdici01w.html,2020
Emma Cannon,LVA,F,1,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,/wnba/players/c/cannoem01w.html,2020
Dearica Hamby,LVA,F,22,622,622,11.4,0.8,11,15,18,6,31,NA,130,9,25,/wnba/players/h/hambyde01w.html,2020
Kayla McBride,LVA,G,22,587,587,8.8,-7.4,10,10,15,6,30,NA,116,3,11,/wnba/players/m/mcbrika01w.html,2020
Angel McCoughtry,LVA,F-G,22,440,440,15.6,9.1,14,17,11,6,37,NA,117,8,11,/wnba/players/m/mccouan01w.html,2020
Danielle Robinson,LVA,G,22,492,492,14.5,7.5,18,10,11,0,16,NA,160,2,7,/wnba/players/r/robinda01w.html,2020
Sugar Rodgers,LVA,G,22,263,263,11.8,0.9,7,4,18,2,1,NA,67,0,4,/wnba/players/r/rodgesu01w.html,2020
Carolyn Swords,LVA,C,22,384,384,9.9,-2.3,5,6,9,1,11,NA,42,0,5,/wnba/players/s/swordca01w.html,2020
Avery Warley-Talbert,LVA,C,3,24,24,5.6,-5.7,0,0,2,2,1,NA,8,1,2,/wnba/players/w/warleav01w.html,2020
A'ja Wilson,LVA,F,22,697,697,12.5,6.5,12,12,37,6,78,NA,97,19,22,/wnba/players/w/wilsoa01w.html,2020
Jackie Young,LVA,G,22,568,568,12.4,3.3,14,10,10,6,33,NA,146,11,10,/wnba/players/y/youngja01w.html,2020
Kayla Alexander,MIN,C,16,89,89,-15.5,-22.7,1,1,10,2,5,NA,7,2,5,/wnba/players/a/alexaka01w.html,2020
Rachel Banham,MIN,G,20,339,339,6.7,2.9,15,5,12,0,10,NA,103,2,8,/wnba/players/b/banhara01w.html,2020
Lexie Brown,MIN,G,17,374,374,5.8,1.5,15,5,11,2,10,NA,100,1,2,/wnba/players/b/brownle02w.html,2020
Bridget Carleton,MIN,F,22,568,568,5.2,0.9,13,7,23,4,13,NA,131,4,7,/wnba/players/c/carlebr01w.html,2020
Karima Christmas-Kelly,MIN,F-G,2,25,25,-2.5,-7.6,2,2,1,0,1,NA,3,0,2,/wnba/players/c/chriska02w.html,2020
Napheesa Collier,MIN,F,22,752,752,7.1,14.9,13,21,24,10,30,NA,185,4,18,/wnba/players/c/collina01w.html,2020
Crystal Dangerfield,MIN,G,21,629,629,5,0.1,24,26,14,0,30,NA,185,7,7,/wnba/players/d/dangecr01w.html,2020
Damiris Dantas,MIN,F,22,586,586,4.6,-0.9,22,6,26,6,27,NA,129,6,12,/wnba/players/d/dantada01w.html,2020
Sylvia Fowles,MIN,C,7,168,168,11.2,7.8,2,2,10,3,14,NA,12,1,4,/wnba/players/f/fowlesy01w.html,2020
Mikiah Herbert Harrigan,MIN,F,21,234,234,8.1,4.3,7,7,12,1,4,NA,18,1,6,/wnba/players/h/harrimi01w.html,2020
Shenise Johnson,MIN,G,17,212,212,-5.1,-13.2,6,10,12,0,14,NA,51,3,5,/wnba/players/j/johnssh02w.html,2020
Odyssey Sims,MIN,G,13,240,240,2.6,-3.3,14,8,6,3,18,NA,105,5,6,/wnba/players/s/simsod01w.html,2020
Layshia Clarendon,NYL,G,19,496,496,-14.2,7.5,27,23,6,12,27,NA,189,6,12,/wnba/players/c/clarela01w.html,2020
Joyner Holmes,NYL,F,19,190,190,-21.7,-5.3,9,3,5,1,6,NA,30,2,4,/wnba/players/h/holmejo02w.html,2020
Sabrina Ionescu,NYL,G,3,80,80,-16.7,0.9,10,3,3,0,2,NA,29,1,0,/wnba/players/i/ionessa01w.html,2020
Jazmine Jones,NYL,G,20,428,428,-16.7,1.6,26,21,22,5,35,NA,107,5,10,/wnba/players/j/jonesja02w.html,2020
Paris Kea,NYL,G,11,165,165,-23,-6.7,9,8,7,1,4,NA,39,0,5,/wnba/players/k/keapa01w.html,2020
Kia Nurse,NYL,G,21,578,578,-16,4.5,21,11,13,10,47,NA,115,4,17,/wnba/players/n/nurseki01w.html,2020
Leaonna Odom,NYL,F,22,453,453,-12.8,9.6,3,11,15,0,13,NA,43,3,9,/wnba/players/o/odomle01w.html,2020
Kylee Shook,NYL,F,20,290,290,-27.7,-15.1,8,3,17,5,8,NA,27,1,13,/wnba/players/s/shookky01w.html,2020
Kiah Stokes,NYL,C,22,601,601,-16.3,3.8,9,10,25,6,2,NA,63,1,4,/wnba/players/s/stokeki01w.html,2020
Megan Walker,NYL,F,18,205,205,-30.9,-17.3,3,3,11,1,3,NA,15,1,7,/wnba/players/w/walkeme01w.html,2020
Jocelyn Willoughby,NYL,F-G,22,383,383,-19.9,-4.3,13,11,21,5,17,NA,50,3,16,/wnba/players/w/willojo01w.html,2020
Amanda Zahui B.,NYL,C,21,531,531,-12.8,11.9,19,17,30,9,17,NA,88,2,7,/wnba/players/z/zahuiam01w.html,2020
Nia Coffey,PHO,F,15,230,230,0.7,-2.4,3,2,20,2,3,NA,28,0,0,/wnba/players/c/coffeni01w.html,2020
Sophie Cunningham,PHO,G,21,396,396,8,10,7,3,16,3,12,NA,37,3,6,/wnba/players/c/cunniso01w.html,2020
Skylar Diggins-Smith,PHO,G,22,675,675,-3.2,-23.8,35,28,24,3,43,NA,209,11,11,/wnba/players/d/diggisk01w.html,2020
Brittney Griner,PHO,C,12,382,382,2.9,0.9,10,9,10,9,23,NA,88,11,6,/wnba/players/g/grinebr01w.html,2020
Bria Hartley,PHO,G,13,322,322,1.8,-1,15,5,13,2,18,NA,131,6,6,/wnba/players/h/hartlbr01w.html,2020
Alanna Smith,PHO,F,19,296,296,12.9,15.7,4,6,22,6,12,NA,57,2,6,/wnba/players/s/smithal01w.html,2020
Diana Taurasi,PHO,G,19,533,533,1,-3.6,28,10,14,4,41,NA,188,7,3,/wnba/players/t/tauradi01w.html,2020
Brianna Turner,PHO,F,22,613,613,2.9,1.7,15,8,39,8,18,NA,96,6,12,/wnba/players/t/turnebr01w.html,2020
Kia Vaughn,PHO,C,22,415,415,-0.6,-5.7,8,8,18,9,8,NA,83,3,5,/wnba/players/v/vaughki01w.html,2020
Shatori Walker-Kimbrough,PHO,G,21,400,400,4.7,4.2,11,4,12,0,13,NA,74,3,8,/wnba/players/w/walkesh01w.html,2020
Sue Bird,SEA,G,11,257,257,23.9,14.4,12,3,4,0,0,NA,135,0,1,/wnba/players/b/birdsu01w.html,2020
Jordin Canada,SEA,G,20,483,483,10.6,-7.1,23,12,12,2,23,NA,260,3,10,/wnba/players/c/canadjo01w.html,2020
Alysha Clark,SEA,F,22,633,633,20,22.7,12,4,22,0,12,NA,137,5,2,/wnba/players/c/clarkal01w.html,2020
Natasha Howard,SEA,F,22,463,463,18.9,10.9,11,11,32,13,16,NA,52,2,7,/wnba/players/h/howarna01w.html,2020
Crystal Langhorne,SEA,F-C,13,107,107,-8.9,-25.6,3,4,4,1,4,NA,17,2,1,/wnba/players/l/langhcr01w.html,2020
Jewell Loyd,SEA,G,22,613,613,14.8,3.4,26,11,19,3,36,NA,166,5,10,/wnba/players/l/loydje01w.html,2020
Ezi Magbegor,SEA,C,22,292,292,7.8,-8.9,2,4,26,2,16,NA,18,5,8,/wnba/players/m/magbeez01w.html,2020
Epiphanny Prince,SEA,G,15,190,190,1,-16.1,6,3,9,2,4,NA,49,0,2,/wnba/players/p/princep01w.html,2020
Mercedes Russell,SEA,C,22,304,304,11.6,-3.3,5,9,6,1,13,NA,29,5,5,/wnba/players/r/russeme01w.html,2020
Breanna Stewart,SEA,F,20,607,607,16.3,8.4,20,17,19,9,50,NA,171,8,11,/wnba/players/s/stewabr01w.html,2020
Morgan Tuck,SEA,F,10,88,88,-3.4,-19,5,0,4,1,3,NA,4,0,1,/wnba/players/t/tuckmo01w.html,2020
Sami Whitcomb,SEA,G,22,363,363,10.8,-5,15,5,19,0,11,NA,93,2,5,/wnba/players/w/whitcsa01w.html,2020
Ariel Atkins,WAS,G,22,682,682,2.3,18.8,26,12,18,1,24,NA,126,6,4,/wnba/players/a/atkinar01w.html,2020
Alaina Coates,WAS,C,20,197,197,-5.6,-4.6,3,4,20,4,13,NA,21,2,7,/wnba/players/c/coateal01w.html,2020
Tianna Hawkins,WAS,F,17,329,329,-12.9,-17.1,4,4,27,5,12,NA,40,4,5,/wnba/players/h/hawkiti01w.html,2020
Myisha Hines-Allen,WAS,F,22,659,659,3.7,21.7,20,16,27,8,26,NA,140,10,14,/wnba/players/h/hinesmy01w.html,2020
Kiara Leslie,WAS,G,19,414,414,-1.9,0.2,10,7,17,0,6,NA,46,1,4,/wnba/players/l/lesliki01w.html,2020
Emma Meesseman,WAS,F,20,634,634,-1.9,0.3,17,11,14,3,14,NA,222,3,4,/wnba/players/m/meessem01w.html,2020
Leilani Mitchell,WAS,G,22,673,673,-1.6,1.8,20,9,15,2,16,NA,266,5,11,/wnba/players/m/mitchle01w.html,2020
Aerial Powers,WAS,F-G,6,179,179,9.8,15,2,3,6,1,14,NA,33,5,2,/wnba/players/p/powerae01w.html,2020
Sug Sutton,WAS,G,12,113,113,-9.2,-8.2,4,2,5,0,4,NA,33,1,4,/wnba/players/s/suttosu01w.html,2020
Essence Carson,TOT,G,21,291,291,-15.8,-18.1,3,7,10,1,5,NA,30,0,6,/wnba/players/c/carsoes01w.html,2020
Jacki Gemelos,TOT,G,18,222,222,-4.4,-4.2,10,1,10,0,1,NA,37,0,2,/wnba/players/g/gemelja01w.html,2020
Megan Huff,TOT,F,7,16,16,-30.8,-39.2,0,1,1,2,0,NA,2,0,1,/wnba/players/h/huffme01w.html,2020
Alisia Jenkins,TOT,F,5,28,28,-9.7,-8.6,0,1,2,1,3,NA,0,0,1,/wnba/players/j/jenkial01w.html,2020
Stella Johnson,TOT,G,9,100,100,-0.9,-2,0,2,3,0,1,NA,28,1,0,/wnba/players/j/johnsst01w.html,2020
Stephanie Mavunga,TOT,F,10,95,95,-9.4,-6.8,1,2,7,2,3,NA,13,1,2,/wnba/players/m/mavunst01w.html,2020
Erica McCall,TOT,F,20,183,183,6.7,9.8,2,3,14,1,12,NA,8,1,2,/wnba/players/m/mccaler01w.html,2020
Shey Peddy,TOT,G,17,257,257,-0.6,-1,8,3,12,3,4,2,71,0,4,/wnba/players/p/peddysh01w.html,2020
Erica McCall,ATL,F,1,5,5,2.4,11.2,0,0,1,0,0,NA,0,0,0,/wnba/players/m/mccaler01w.html,2020
Stella Johnson,CHI,G,4,6,6,-44.7,-48.8,0,0,0,0,0,NA,0,0,0,/wnba/players/j/johnsst01w.html,2020
Jacki Gemelos,CON,G,6,29,29,19.6,19.7,2,1,5,0,0,NA,3,0,0,/wnba/players/g/gemelja01w.html,2020
Alisia Jenkins,IND,F,1,2,2,-225,-215.4,0,0,0,0,0,NA,0,0,0,/wnba/players/j/jenkial01w.html,2020
Stephanie Mavunga,IND,F,5,59,59,-4.6,5.8,0,1,1,0,3,NA,8,1,2,/wnba/players/m/mavunst01w.html,2020
Megan Huff,MIN,F,3,5,5,-12.5,-17.5,0,0,1,0,0,NA,2,0,1,/wnba/players/h/huffme01w.html,2020
Essence Carson,WAS,G,10,168,168,-21.3,-23.9,3,3,5,1,3,NA,13,0,4,/wnba/players/c/carsoes01w.html,2020
Shey Peddy,WAS,G,9,116,116,-3.5,-1.8,6,1,3,1,1,NA,28,0,1,/wnba/players/p/peddysh01w.html,2020
Alisia Jenkins,CHI,F,2,3,3,117.1,113.7,0,0,0,0,0,NA,0,0,0,/wnba/players/j/jenkial01w.html,2020
Stephanie Mavunga,CHI,F,5,36,36,-18.6,-23.3,1,1,5,2,0,NA,5,0,0,/wnba/players/m/mavunst01w.html,2020
Essence Carson,CON,G,11,123,123,-8.4,-10.3,0,4,4,0,2,NA,17,0,2,/wnba/players/c/carsoes01w.html,2020
Megan Huff,LVA,F,4,11,11,-38.9,-50.6,0,1,0,2,0,NA,0,0,0,/wnba/players/h/huffme01w.html,2020
Erica McCall,MIN,F,19,178,178,6.9,2.5,2,3,11,1,10,NA,8,1,2,/wnba/players/m/mccaler01w.html,2020
Shey Peddy,PHO,G,8,141,141,1.8,-0.7,2,2,7,2,2,NA,43,0,3,/wnba/players/p/peddysh01w.html,2020
Jacki Gemelos,WAS,G,12,193,193,-8.1,-7.7,8,0,5,0,1,NA,34,0,2,/wnba/players/g/gemelja01w.html,2020
Stella Johnson,WAS,G,5,94,94,1.7,4.1,0,2,3,0,1,NA,28,1,0,/wnba/players/j/johnsst01w.html,2020
Alisia Jenkins,PHO,F,2,23,23,-9.1,-11.8,0,1,2,1,3,NA,0,0,1,/wnba/players/j/jenkial01w.html,2020
Monique Billings,ATL,F,31,740,740,-5.3,5.2,11,11,38,14,39,NA,72,8,16,/wnba/players/b/billimo01w.html,2021
Crystal Bradford,ATL,G,24,440,440,-5.9,2.5,12,4,29,5,20,NA,84,6,11,/wnba/players/b/bradfcr01w.html,2021
Kalani Brown,ATL,C,1,5,5,-25,-17.5,0,0,0,0,0,NA,0,0,0,/wnba/players/b/brownka01w.html,2021
Chennedy Carter,ATL,G,11,280,280,-2.3,6.8,10,6,21,3,17,NA,79,4,6,/wnba/players/c/cartech01w.html,2021
Blake Dietrick,ATL,G,9,141,141,-2.3,5.9,3,1,10,0,0,NA,25,0,2,/wnba/players/d/dietrbl01w.html,2021
Tianna Hawkins,ATL,F,28,433,433,-8.5,-1.5,11,11,24,6,9,NA,40,1,4,/wnba/players/h/hawkiti01w.html,2021
Tiffany Hayes,ATL,G,21,595,595,-5.1,4.5,12,9,19,5,30,NA,138,7,16,/wnba/players/h/hayesti01w.html,2021
Aari McDonald,ATL,G,30,493,493,-6.2,2.1,21,10,24,2,19,NA,139,5,6,/wnba/players/m/mcdonaa01w.html,2021
Cheyenne Parker,ATL,F,13,270,270,-10.9,-4.2,1,9,16,2,13,NA,40,4,6,/wnba/players/p/parkech01w.html,2021
Odyssey Sims,ATL,G,30,753,753,-11.9,-10.6,24,15,16,4,23,NA,245,4,13,/wnba/players/s/simsod01w.html,2021
Shekinna Stricklen,ATL,F,24,236,236,-19.4,-14.5,3,0,10,0,2,NA,21,0,2,/wnba/players/s/stricsh01w.html,2021
Courtney Williams,ATL,G,32,1101,1101,-5.5,14.2,35,13,27,3,18,NA,297,5,14,/wnba/players/w/willico01w.html,2021
Elizabeth Williams,ATL,C-F,32,761,761,-8.3,-1.8,9,8,26,7,22,NA,91,3,26,/wnba/players/w/williel01w.html,2021
Brittany Boyd,CHI,G,2,22,22,-3.6,-5.1,3,1,1,0,0,NA,9,0,1,/wnba/players/b/boydbr01w.html,2021
Lexie Brown,CHI,G,17,162,162,0.6,-0.9,6,2,5,0,0,NA,46,0,0,/wnba/players/b/brownle02w.html,2021
Kahleah Copper,CHI,G-F,32,986,986,0.1,-5.8,34,11,29,8,54,NA,135,9,43,/wnba/players/c/coppeka01w.html,2021
Diamond DeShields,CHI,G,32,860,860,-0.6,-6.2,33,16,34,5,53,NA,171,9,10,/wnba/players/d/deshidi01w.html,2021
Stefanie Dolson,CHI,C,24,480,480,5.1,5.7,10,2,21,13,9,NA,69,1,15,/wnba/players/d/dolsost01w.html,2021
Shyla Heal,CHI,G,4,31,31,-14,-15.8,4,3,1,0,2,NA,7,0,1,/wnba/players/h/healsh01w.html,2021
Ruthy Hebard,CHI,F,30,505,505,4.4,4.8,3,6,31,7,16,NA,54,4,12,/wnba/players/h/hebarru01w.html,2021
Astou Ndour,CHI,C-F,20,342,342,-8.5,-13.6,5,2,19,4,15,NA,18,4,13,/wnba/players/n/ndouras01w.html,2021
Candace Parker,CHI,F-C,23,615,615,4.2,5.2,37,14,20,1,28,NA,207,8,9,/wnba/players/p/parkeca01w.html,2021
Allie Quigley,CHI,G,26,635,635,6.6,10.1,19,7,8,3,17,NA,137,4,8,/wnba/players/q/quiglal01w.html,2021
Azura Stevens,CHI,F-C,30,587,587,0.8,-1.2,8,5,27,11,15,NA,56,7,20,/wnba/players/s/steveaz01w.html,2021
Courtney Vandersloot,CHI,G,32,977,977,2.6,4.7,72,14,32,2,22,NA,619,7,17,/wnba/players/v/vandeco01w.html,2021
Stephanie Watts,CHI,G,6,84,84,-12.4,-14.8,4,4,9,0,3,NA,7,0,3,/wnba/players/w/wattsst01w.html,2021
DeWanna Bonner,CON,F-G,32,1022,1022,14.5,5.1,39,19,23,5,58,NA,242,14,24,/wnba/players/b/bonnede01w.html,2021
DiJonai Carrington,CON,G-F,24,220,220,3.9,-11.5,10,4,13,6,9,NA,26,3,12,/wnba/players/c/carridi01w.html,2021
Kaila Charles,CON,G-F,30,488,488,11.1,-3.6,12,6,21,6,14,NA,79,6,8,/wnba/players/c/charlka01w.html,2021
Aleah Goodman,CON,G,1,3,3,-123.3,-137.1,0,0,1,0,0,NA,3,0,0,/wnba/players/g/goodmal01w.html,2021
Natisha Hiedeman,CON,G,32,644,644,8.5,-9.9,17,7,34,4,21,NA,139,3,9,/wnba/players/h/hiedena01w.html,2021
Briann January,CON,G,29,877,877,16.1,8.5,34,8,16,7,7,NA,212,2,4,/wnba/players/j/januabr01w.html,2021
Brionna Jones,CON,F,32,980,980,16.1,11.3,23,23,28,17,49,NA,136,14,35,/wnba/players/j/jonesbr01w.html,2021
Jonquel Jones,CON,F,27,856,856,20.4,20.6,18,26,24,25,58,NA,186,16,22,/wnba/players/j/jonesjo01w.html,2021
Stephanie Jones,CON,F,18,99,99,-14.2,-29.9,0,2,3,0,1,NA,6,0,9,/wnba/players/j/jonesst01w.html,2021
Beatrice Mompremier,CON,F,32,275,275,-1.5,-18.8,4,6,23,5,3,NA,15,0,11,/wnba/players/m/momprbe01w.html,2021
Alyssa Thomas,CON,F,3,37,37,22.4,9.3,1,1,1,1,2,NA,9,0,1,/wnba/players/t/thomaal01w.html,2021
Jasmine Thomas,CON,G,30,887,887,16.6,10.3,47,11,18,2,24,NA,282,7,12,/wnba/players/t/thomaja01w.html,2021
Bella Alarie,DAL,C-F,31,407,407,6.6,10.8,6,7,22,3,10,NA,39,0,7,/wnba/players/a/alaribe01w.html,2021
Charli Collier,DAL,F-C,28,345,345,-14.9,-19.3,6,3,26,2,10,NA,14,1,14,/wnba/players/c/collich01w.html,2021
Chelsea Dungee,DAL,G,14,64,64,3.1,4.1,2,0,1,0,0,NA,3,0,1,/wnba/players/d/dungech01w.html,2021
Allisha Gray,DAL,G,25,694,694,1,4,13,12,24,3,32,NA,94,10,13,/wnba/players/g/grayal01w.html,2021
Isabelle Harrison,DAL,F,28,665,665,6.2,14.5,13,10,30,9,31,NA,69,9,29,/wnba/players/h/harriis01w.html,2021
Tyasha Harris,DAL,G,32,522,522,-2.5,-2.8,22,5,20,3,16,NA,202,2,7,/wnba/players/h/harrity01w.html,2021
Moriah Jefferson,DAL,G,29,500,500,-0.7,0.2,19,9,16,6,4,NA,180,3,7,/wnba/players/j/jeffemo01w.html,2021
Awak Kuier,DAL,F,16,142,142,-6.5,-6.4,5,7,7,2,6,NA,24,0,3,/wnba/players/k/kuieraw01w.html,2021
Marina Mabrey,DAL,G,32,773,773,0.2,2.6,38,13,29,12,20,NA,207,6,25,/wnba/players/m/mabrema01w.html,2021
Arike Ogunbowale,DAL,G,32,1003,1003,-3.3,-11.2,28,9,9,24,61,NA,243,16,24,/wnba/players/o/ogunbar01w.html,2021
Satou Sabally,DAL,F,17,423,423,4.9,8.5,13,14,25,6,28,NA,123,9,10,/wnba/players/s/sabalsa01w.html,2021
Kayla Thornton,DAL,F,31,857,857,-5.4,-13.5,8,10,23,5,23,NA,108,7,22,/wnba/players/t/thornka01w.html,2021
Lindsay Allen,IND,G,32,571,571,-17.2,-7.6,21,4,12,2,16,NA,219,3,8,/wnba/players/a/allenli01w.html,2021
Jessica Breland,IND,F,26,544,544,-16.6,-6.4,33,6,30,6,9,NA,112,1,12,/wnba/players/b/brelaje01w.html,2021
Kysre Gondrezick,IND,G,19,173,173,-23.1,-11.8,10,5,7,0,1,NA,40,0,1,/wnba/players/g/gondrky01w.html,2021
Bernadett Hatar,IND,C,7,106,106,-29.2,-17.8,4,2,9,2,2,NA,5,0,2,/wnba/players/h/hatarbe01w.html,2021
Jantel Lavender,IND,F,27,539,539,-17.9,-8.9,24,6,25,7,7,NA,87,0,10,/wnba/players/l/lavenja01w.html,2021
Teaira McCowan,IND,C,32,848,848,-7.1,16.8,22,6,53,19,50,NA,78,12,29,/wnba/players/m/mccowte01w.html,2021
Kelsey Mitchell,IND,G,32,1059,1059,-9.9,17.7,37,12,26,9,34,NA,180,7,21,/wnba/players/m/mitchke01w.html,2021
Tiffany Mitchell,IND,G,28,765,765,-9.6,8.3,28,10,24,3,54,NA,131,10,13,/wnba/players/m/mitchti01w.html,2021
Chelsey Perry,IND,F,6,40,40,15.1,28.9,0,0,3,1,1,NA,4,0,1,/wnba/players/p/perrych01w.html,2021
Danielle Robinson,IND,G,24,659,659,-8.7,8.9,28,9,16,1,27,NA,198,5,18,/wnba/players/r/robinda01w.html,2021
Victoria Vivians,IND,G,31,661,661,-15.8,-6,17,7,28,2,14,NA,90,0,7,/wnba/players/v/viviavi01w.html,2021
Aaliyah Wilson,IND,G,14,119,119,-26.8,-15.4,8,0,10,0,0,NA,19,0,1,/wnba/players/w/wilsoaa01w.html,2021
Nia Coffey,LAS,F,32,805,805,-7.5,-4.4,19,11,47,10,17,NA,67,4,6,/wnba/players/c/coffeni01w.html,2021
Te'a Cooper,LAS,G,31,682,682,-7.9,-4.4,26,18,30,4,38,NA,114,6,19,/wnba/players/c/coopete01w.html,2021
Arella Guirantes,LAS,G,25,291,291,-1.5,5.6,10,1,17,0,10,NA,33,0,7,/wnba/players/g/guiraar01w.html,2021
Chiney Ogwumike,LAS,F-C,7,134,134,3.9,10.9,1,1,11,2,4,NA,19,2,6,/wnba/players/o/ogwumch01w.html,2021
Nneka Ogwumike,LAS,F,18,570,570,-6,-0.2,22,8,9,7,18,NA,116,7,14,/wnba/players/o/ogwumnn01w.html,2021
Brittney Sykes,LAS,G,32,939,939,-1.8,14.9,26,12,28,3,40,NA,163,18,8,/wnba/players/s/sykesbr01w.html,2021
Kristi Toliver,LAS,G,19,525,525,-6.7,-1.5,18,6,17,2,5,NA,122,1,6,/wnba/players/t/tolivkr01w.html,2021
Jasmine Walker,LAS,F,2,20,20,-51.8,-46.7,0,0,1,0,1,NA,5,0,1,/wnba/players/w/walkeja01w.html,2021
Erica Wheeler,LAS,G,32,967,967,-7.9,-8.1,47,25,29,5,39,NA,358,8,32,/wnba/players/w/wheeler01w.html,2021
Amanda Zahui B.,LAS,C,30,714,714,-3.2,6,16,15,37,11,16,NA,71,1,12,/wnba/players/z/zahuiam01w.html,2021
Liz Cambage,LVA,C,25,595,595,13.2,4,13,10,36,15,49,NA,76,16,10,/wnba/players/c/cambael01w.html,2021
Chelsea Gray,LVA,G,32,926,926,9.7,-4.9,61,20,18,3,15,NA,410,2,10,/wnba/players/g/graych01w.html,2021
Dearica Hamby,LVA,F,29,710,710,15.6,9.9,12,13,19,4,52,NA,113,13,26,/wnba/players/h/hambyde01w.html,2021
Angel McCoughtry,LVA,F-G,1,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,/wnba/players/m/mccouan01w.html,2021
JiSu Park,LVA,C,25,223,223,3.1,-9.7,8,4,14,5,5,NA,48,0,3,/wnba/players/p/parkji01w.html,2021
Kelsey Plum,LVA,G,26,665,665,10.6,-0.9,24,10,15,5,33,NA,204,10,14,/wnba/players/p/plumke01w.html,2021
Destiny Slocum,LVA,G,21,133,133,17.9,7.6,4,2,7,1,2,NA,31,1,1,/wnba/players/s/slocude01w.html,2021
Riquna Williams,LVA,G,32,833,833,8.6,-7,14,3,27,3,23,NA,107,6,1,/wnba/players/w/williri02w.html,2021
A'ja Wilson,LVA,F,32,1021,1021,8.7,-11.2,26,8,33,5,97,NA,213,21,45,/wnba/players/w/wilsoa01w.html,2021
Jackie Young,LVA,G,32,1016,1016,14.5,16.1,35,8,32,0,49,NA,231,17,9,/wnba/players/y/youngja01w.html,2021
Natalie Achonwa,MIN,F,21,253,253,2.9,-3.1,8,4,16,1,7,NA,59,0,5,/wnba/players/a/achonna01w.html,2021
Rachel Banham,MIN,G,27,341,341,8.4,4.2,15,10,26,0,3,NA,100,0,8,/wnba/players/b/banhara01w.html,2021
