player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Chelsea Gray,LAS,G,34,1111,34,34,32.7,5.7,11.7,0.484,1.1,2.9,0.392,4.6,8.9,0.513,2.4,2.9,0.835,0.5,3.4,5.1,1.4,0.2,2.4,1.9,14.9,/wnba/players/g/graych01w.html,2018
Brittney Griner,PHO,C,34,1108,34,34,32.6,7.8,14.4,0.544,0,0.1,0.25,7.8,14.3,0.546,4.8,6,0.8,1.9,7.7,2.1,0.5,2.6,2.4,3.2,20.5,/wnba/players/g/grinebr01w.html,2018
Marie Gulich,PHO,C,23,115,23,0,5,0.6,1.3,0.483,0,0,NA,0.6,1.3,0.483,0.3,0.3,0.75,0.4,1,0.1,0,0.3,0.6,0.8,1.5,/wnba/players/g/gulima01w.html,2018
Jazmon Gwathmey,IND,G,10,116,10,3,11.6,0.9,3.9,0.231,0.1,1.1,0.091,0.8,2.8,0.286,0.5,1,0.5,0.2,1.7,0.9,0.3,0.2,0.7,1.4,2.4,/wnba/players/g/gwathja01w.html,2018
Dearica Hamby,LVA,F,33,474,33,0,14.4,2.8,5.3,0.526,0.4,1.4,0.289,2.4,3.9,0.608,1.4,1.9,0.742,1.1,3.6,1.2,0.7,0.3,1.1,2,7.4,/wnba/players/h/hambyde01w.html,2018
Linnae Harper,CHI,G,24,146,24,0,6.1,0.8,2,0.404,0.2,0.5,0.308,0.6,1.4,0.441,0.3,0.4,0.6,0.2,0.8,1,0.2,0,0.4,0.6,2,/wnba/players/h/harpeli01w.html,2018
Amber Harris,CHI,F,1,2,1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,/wnba/players/h/harriam01w.html,2018
Bria Hartley,NYL,G,34,806,34,20,23.7,3,7.8,0.389,1.1,3.4,0.308,2,4.4,0.453,1.4,1.9,0.708,0.7,2.9,3.6,0.9,0.1,2,2.2,8.5,/wnba/players/h/hartlbr01w.html,2018
Tianna Hawkins,WAS,F,32,532,32,4,16.6,2.5,5.7,0.443,0.8,2.2,0.357,1.8,3.5,0.496,0.4,0.5,0.824,1.1,3.5,0.8,0.5,0.4,1.1,2.5,6.3,/wnba/players/h/hawkiti01w.html,2018
Tiffany Hayes,ATL,G,31,897,31,29,28.9,5.7,12.9,0.441,1.4,4.2,0.321,4.4,8.7,0.5,4.5,5.5,0.817,0.9,3.6,2.7,1.2,0.2,1.6,2.1,17.2,/wnba/players/h/hayesti01w.html,2018
Myisha Hines-Allen,WAS,F,24,252,24,1,10.5,1.5,3.3,0.45,0,0.1,0.333,1.5,3.2,0.455,0.7,1.1,0.654,1.2,2.9,0.4,0.4,0.2,0.4,1.5,3.8,/wnba/players/h/hinesmy01w.html,2018
Sequoia Holmes,LVA,G,3,20,3,0,6.7,0.7,1,0.667,0,0,NA,0.7,1,0.667,0,0.3,0,0.3,0.7,0.7,0.3,0.7,0.7,0.3,1.3,/wnba/players/h/holmese01w.html,2018
Chelsea Hopkins,CHI,G,4,58,4,4,14.5,0.8,1.5,0.5,0,0,NA,0.8,1.5,0.5,0.3,0.3,1,0,3.3,2,0.5,0,1.8,0.5,1.8,/wnba/players/h/hopkich01w.html,2018
Natasha Howard,SEA,F,34,869,34,33,25.6,5.1,9.4,0.547,0.5,1.5,0.327,4.6,7.9,0.59,2.4,3.1,0.798,2.4,6.4,1,1.3,2,1.9,3.7,13.2,/wnba/players/h/howarna01w.html,2018
