player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link,mpg
Kahleah Copper,CHI,2022,G-F,16,455,16,8.9,19.9,0.444,2.3,6.1,0.382,6.5,13.8,0.472,5.3,6.5,0.814,1.4,9.2,3.9,0.8,0,4,4.3,25.4,14.1,0.556,0.503,0.306,0.328,3.6,10.6,12.4,0.8,0,14.9,24.1,101,103,0.5,0.6,1.1,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/coppeka01w.html,28.4375
Sophie Cunningham,PHO,2022,G,15,377,7,5.9,13.8,0.427,3.9,9.9,0.392,2,3.9,0.517,2.8,3.1,0.913,1.2,8.2,3.2,1.3,0.4,1.7,7.4,18.5,13.1,0.61,0.568,0.718,0.223,2.9,9.8,10.6,1.3,0.7,10.3,15.4,115,109,0.9,0.1,1,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cunniso01w.html,25.133333333333333
Damiris Dantas,MIN,2022,F,11,201,11,6.1,18.8,0.324,3.6,13,0.275,2.5,5.8,0.435,1.3,1.5,0.833,2,11.4,5.1,0.5,0.3,3.3,3,17,8.9,0.437,0.419,0.689,0.081,4.7,13,15.9,0.5,0.5,14.5,19.8,91,108,-0.1,0.1,0,-0.006,19.6,0.311,0.054,0.135,0.081,0.041,0.689,0.435,0.75,0.4,0.5,0,0.275,0.6,1,0.078,0.5,11.5,16.9,10,1,9,0,3,NA,44,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/dantada01w.html,18.272727272727273
Elena Delle Donne,WAS,2022,F-G,15,405,15,11.6,24.4,0.474,2.8,7.3,0.386,8.7,17.1,0.511,4.9,5.5,0.884,2.3,11.7,3.9,1,2.2,1.9,2.8,30.9,24.4,0.574,0.532,0.3,0.226,5.1,13.2,14.7,1,3.9,6.7,25.5,115,96,1.5,0.9,2.4,0.232,14.2,0.7,0.074,0.347,0.2,0.079,0.3,0.511,0.929,0.561,0.342,0.333,0.386,0.647,0.909,0.053,0,11.2,10.3,5,6,8,4,23,3,71,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/delleel01w.html,27
Diamond DeShields,PHO,2022,G,22,581,14,9.4,22.9,0.411,1.2,5.3,0.23,8.2,17.6,0.465,6.4,8.6,0.747,1.3,7.7,3.9,2,1.1,4.3,7.1,26.5,13.5,0.496,0.437,0.232,0.376,3.1,9.3,14.6,2,2,13.8,28.1,93,107,-0.2,0.4,0.2,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/deshidi01w.html,26.40909090909091
Skylar Diggins-Smith,PHO,2022,G,21,714,21,10.3,22.7,0.452,2.1,6.7,0.316,8.1,16,0.509,5.8,6.7,0.863,1,5.7,7.5,2.8,1.4,4.5,4.1,28.5,20.9,0.554,0.498,0.296,0.296,2.4,6.8,28.9,2.8,2.5,14.8,27.4,104,106,1.5,0.5,2,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/diggisk01w.html,34
Stefanie Dolson,NYL,2022,C,21,492,21,6.7,12.8,0.52,1.5,4,0.368,5.2,8.9,0.588,2.8,3.1,0.9,1.6,9.8,4.2,0.9,2,3.5,7.3,17.6,13.3,0.62,0.577,0.309,0.244,3.6,10.9,14,0.9,3.1,20,16,106,104,0.7,0.5,1.2,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/dolsost01w.html,23.428571428571427
Queen Egbo,IND,2022,C,22,519,21,6.5,14.5,0.45,0,0,NA,6.5,14.5,0.45,3.1,4.8,0.64,4.1,14.6,2.2,2,3,4.4,6.4,16.2,12.6,0.486,0.45,0,0.331,8.9,16.8,7.6,2,5.1,21,18.2,89,104,-0.4,0.5,0.1,0.007,6.5,1,0.351,0.404,0.132,0.113,0,0.45,0.698,0.393,0.3,0.059,NA,0.676,NA,NA,NA,-6.4,14.2,20,10,26,13,28,NA,53,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/e/egboqu01w.html,23.59090909090909
Emily Engstler,IND,2022,F,23,444,5,5.9,16.4,0.356,0.9,3.6,0.25,5,12.8,0.386,1,1.8,0.563,7,15.8,3.5,2.1,3.4,3.2,8.3,13.6,12.5,0.395,0.384,0.219,0.11,15,18.1,11.7,2.1,5.7,15.5,17.6,90,105,-0.3,0.4,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/e/engstem01w.html,19.304347826086957
Dana Evans,CHI,2022,G,20,260,1,7.2,18.2,0.394,3.3,8.7,0.378,3.9,9.5,0.408,3.5,4.1,0.857,1,3.9,7,1.4,0.6,3.7,4.1,21.1,13,0.528,0.484,0.479,0.223,2.4,4.5,21.2,1.4,0.9,15.5,21.3,101,104,0.3,0.3,0.6,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/e/evansda02w.html,13
Sylvia Fowles,MIN,2022,C,18,514,18,11.3,17.6,0.644,0,0,NA,11.3,17.6,0.644,4,6.2,0.645,4.5,16.5,1.6,2.3,2.2,4.1,4,26.6,24.2,0.656,0.644,0,0.35,10.4,18.7,6,2.3,4,16.7,21.2,113,100,1.4,0.8,2.3,0.176,3.9,1,0.605,0.311,0.034,0.051,0,0.644,0.757,0.527,0.167,0.333,NA,0.728,NA,NA,NA,-4.4,-5.9,9,9,18,11,28,NA,37,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/f/fowlesy01w.html,28.555555555555557
Rebekah Gardner,CHI,2022,G,20,446,2,8,14.8,0.542,1,3.2,0.321,7,11.6,0.602,3.6,4.4,0.821,2.7,7,2.6,3.4,1.1,3.5,5.3,20.7,16.7,0.618,0.576,0.214,0.298,6.7,8,8.1,3.4,1.8,17.3,18.2,108,98,0.8,0.9,1.7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/g/gardnre01w.html,22.3
Allisha Gray,DAL,2022,G,20,637,20,7.6,16.9,0.45,3.3,8,0.41,4.3,8.9,0.486,4.2,5,0.825,1.7,8.9,3.7,1.9,1.4,1.8,3.2,22.6,19.4,0.593,0.547,0.474,0.299,3.7,10.1,12.7,1.9,2.3,8.4,18.1,120,103,2.2,0.7,2.9,0.182,15.2,0.526,0.166,0.227,0.09,0.043,0.474,0.486,0.657,0.438,0.316,0.444,0.41,0.574,0.902,0.22,0.364,3.8,15.3,13,6,21,0,31,7,108,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/g/grayal01w.html,31.85
