player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link,mpg
Astou Ndour,DAL,2020,C-F,13,151,7,6.8,19.4,0.351,2,8.5,0.24,4.8,10.9,0.438,0,0,NA,4.4,12.9,2,1,2,2,9.9,15.7,8.2,0.404,0.404,0.439,0,9.4,14.7,6.7,1,3.3,9.5,18.7,90,110,-0.1,0.1,-0.1,-0.018,16.3,0.561,0.088,0.228,0.105,0.14,0.439,0.438,1,0.538,0.167,0.125,0.24,0.643,1,0.04,1,-27.2,-27.4,3,0,17,1,0,NA,13,0,3,20,57,6,25,14,32,0,0,13,38,6,3,6,6,29,46,/wnba/players/n/ndouras01w.html,11.615384615384615
Kia Nurse,NYL,2020,G,21,578,18,5.8,21.3,0.273,2.6,11.1,0.238,3.2,10.2,0.311,7.6,8.8,0.864,0.9,5.1,4.1,0.9,0.3,3.9,3.2,21.9,7.7,0.435,0.335,0.522,0.414,2.1,5.7,16.7,0.9,0.5,13.5,25.9,86,110,-1,0.2,-0.8,-0.055,17,0.478,0.084,0.257,0.04,0.096,0.522,0.311,0.524,0.297,0.3,0.167,0.238,0.324,0.839,0.092,0.25,-16,4.5,21,11,13,10,47,NA,115,4,17,68,249,31,130,37,119,89,103,11,60,48,11,4,46,38,256,/wnba/players/n/nurseki01w.html,27.523809523809526
Leaonna Odom,NYL,2020,F,22,453,16,5.2,10.7,0.49,0.5,2.2,0.25,4.7,8.5,0.551,2.2,2.5,0.87,3.7,5.4,1.7,1.6,0.9,1.6,4,13.2,11.2,0.56,0.515,0.204,0.235,8.2,6.1,7,1.6,1.4,12.2,12,111,109,0.6,0.2,0.9,0.076,9,0.796,0.235,0.469,0.071,0.02,0.204,0.551,0.783,0.478,0.429,0,0.25,0.791,1,0.6,0.333,-12.8,9.6,3,11,15,0,13,NA,43,3,9,48,98,5,20,43,78,20,23,34,50,16,15,8,15,37,121,/wnba/players/o/odomle01w.html,20.59090909090909
Arike Ogunbowale,DAL,2020,G,22,748,22,11.9,28.8,0.413,3.3,9.8,0.336,8.6,19,0.453,7.3,8.6,0.856,0.7,4.2,5.2,2.4,0,3.2,3.7,34.4,20.7,0.528,0.47,0.341,0.298,1.5,4.8,20.5,2.4,0,9,31.2,107,113,1.9,0,1.9,0.103,15.4,0.659,0.069,0.265,0.158,0.169,0.341,0.453,0.862,0.477,0.303,0.38,0.336,0.256,0.688,0.042,0.333,-2.4,13,16,12,9,15,59,NA,193,16,17,173,419,48,143,125,276,107,125,10,61,76,35,0,47,54,501,/wnba/players/o/ogunbar01w.html,34
Nneka Ogwumike,LAS,2020,F,18,476,18,10.1,17.7,0.569,1,1.9,0.5,9.1,15.8,0.577,4.3,5.2,0.837,2.2,9.2,3.3,2,0.3,3,4.3,25.4,20,0.636,0.596,0.108,0.293,5.5,11.3,10.9,2,0.6,12.9,20.9,117,101,1.5,0.8,2.3,0.192,9.1,0.892,0.251,0.425,0.066,0.15,0.108,0.577,0.786,0.521,0.455,0.44,0.5,0.744,1,0.167,0,6.3,0.4,11,8,13,7,24,NA,73,7,9,95,167,9,18,86,149,41,49,21,87,31,19,3,28,41,240,/wnba/players/o/ogwumnn01w.html,26.444444444444443
Candace Parker,LAS,2020,F-C,22,665,22,9.4,18.4,0.51,1.4,3.6,0.396,8,14.8,0.538,4.3,5.9,0.731,2.8,16.2,7.7,2,2,4.9,3.9,24.6,22.7,0.584,0.549,0.198,0.321,6.9,19.9,24.9,2,3.8,18.8,23.5,108,95,1.5,1.8,3.2,0.195,10,0.802,0.222,0.428,0.082,0.07,0.198,0.538,0.722,0.529,0.3,0.294,0.396,0.562,0.789,0.083,0.5,8.2,8.1,35,19,22,5,36,NA,236,8,6,124,243,19,48,105,195,57,78,37,214,101,26,27,64,51,324,/wnba/players/p/parkeca01w.html,30.227272727272727
Cheyenne Parker,CHI,2020,F,20,497,13,9.7,17.5,0.554,1.5,3.2,0.469,8.2,14.3,0.573,5.8,6.8,0.853,4.7,12.8,3,2.6,1.8,5.5,6.3,26.7,21.3,0.651,0.597,0.183,0.389,12,15.7,9.4,2.6,2.9,21.2,23.3,111,101,1.3,0.9,2.2,0.174,9,0.817,0.229,0.48,0.074,0.034,0.183,0.573,0.8,0.5,0.308,0.667,0.469,0.72,0.933,0.063,0,5.1,3,12,22,27,13,33,NA,74,8,19,97,175,15,32,82,143,58,68,47,128,30,26,18,55,63,267,/wnba/players/p/parkech01w.html,24.85
Aerial Powers,WAS,2020,F-G,6,179,6,9.4,20.2,0.464,2.6,7.6,0.346,6.7,12.6,0.535,7.3,8.8,0.833,0.6,8.5,4.4,2.6,0,3.2,4.7,28.7,19.8,0.596,0.529,0.377,0.435,1.3,9.9,15.1,2.6,0,11.8,24.2,111,104,0.5,0.2,0.7,0.155,16.8,0.623,0.029,0.217,0.174,0.203,0.377,0.535,1,0.733,0.333,0.429,0.346,0.217,0.778,0.154,0.25,9.8,15,2,3,6,1,14,NA,33,5,2,32,69,9,26,23,43,25,30,2,29,15,9,0,11,16,98,/wnba/players/p/powerae01w.html,29.833333333333332
Epiphanny Prince,SEA,2020,G,15,190,0,5.8,15.1,0.386,2.4,7.2,0.333,3.5,8,0.433,2.9,3.5,0.846,0.3,4.8,5.6,1.6,0.5,3.2,5.8,17,9.3,0.51,0.465,0.474,0.228,0.6,5.5,16.2,1.6,0.9,16.1,17.6,98,101,0.1,0.3,0.4,0.082,18.4,0.526,0.018,0.228,0.14,0.14,0.474,0.433,0,0.462,0.5,0.375,0.333,0.154,0.556,0.074,1,1,-16.1,6,3,9,2,4,NA,49,0,2,22,57,9,27,13,30,11,13,1,18,21,6,2,12,22,64,/wnba/players/p/princep01w.html,12.666666666666666
Allie Quigley,CHI,2020,G,22,631,22,10.1,22.6,0.448,3.6,10.5,0.346,6.5,12.2,0.535,2.7,2.9,0.919,0.5,5,4.1,1.1,0.5,2.2,2.4,26.6,16.5,0.555,0.528,0.462,0.128,1.2,6.1,13,1.1,0.7,8.4,23.5,109,108,1.3,0.4,1.7,0.11,18.4,0.538,0.021,0.118,0.236,0.163,0.462,0.535,1,0.588,0.485,0.511,0.346,0.542,0.783,0.09,0.417,2.8,-3.6,15,10,15,1,17,NA,117,5,7,129,288,46,133,83,155,34,37,6,63,52,14,6,28,31,338,/wnba/players/q/quiglal01w.html,28.681818181818183
Danielle Robinson,LVA,2020,G,22,492,1,6.2,12.1,0.512,0.5,1.3,0.385,5.7,10.8,0.528,3.4,4.2,0.81,0.5,5.3,7.1,1.9,0.2,2.8,3.8,16.4,14,0.584,0.533,0.107,0.347,1.2,6.1,20.8,1.9,0.4,16.7,14.9,112,101,0.9,0.8,1.7,0.142,10.3,0.893,0.132,0.488,0.116,0.157,0.107,0.528,0.875,0.458,0.429,0.526,0.385,0.474,1,0.154,0.5,14.5,7.5,18,10,11,0,16,NA,160,2,7,62,121,5,13,57,108,34,42,5,53,71,19,2,28,38,163,/wnba/players/r/robinda01w.html,22.363636363636363
Sugar Rodgers,LVA,2020,G,22,263,1,4.9,15.2,0.321,3.8,12,0.313,1.1,3.2,0.353,0.6,0.8,0.75,0.6,5.3,5.8,1.3,0.6,3,4.7,14.1,7.2,0.453,0.444,0.79,0.049,1.4,6.1,16.4,1.3,1,16.2,16.5,90,102,-0.2,0.4,0.2,0.035,22.3,0.21,0,0.136,0.037,0.037,0.79,0.353,NA,0.364,0.333,0.333,0.313,0.167,0.75,0.109,0.429,11.8,0.9,7,4,18,2,1,NA,67,0,4,26,81,20,64,6,17,3,4,3,28,31,7,3,16,25,75,/wnba/players/r/rodgesu01w.html,11.954545454545455
Tierra Ruffin-Pratt,LAS,2020,G,17,251,10,2.4,9,0.267,1.2,2.6,0.462,1.2,6.4,0.188,3.8,5.2,0.731,1.8,7.2,3,2.2,0.6,1.8,5.6,9.9,7,0.434,0.333,0.289,0.578,4.5,8.9,8,2.2,1.1,13.8,11.9,94,101,0,0.4,0.4,0.063,14.1,0.711,0.133,0.2,0.244,0.133,0.289,0.188,0.5,0,0.091,0.333,0.462,0.333,1,0.077,1,2.7,-4.7,4,3,10,1,9,NA,36,0,2,12,45,6,13,6,32,19,26,9,36,15,11,3,9,28,49,/wnba/players/r/ruffiti01w.html,14.764705882352942
Mercedes Russell,SEA,2020,C,22,304,2,5.3,12.9,0.41,0,0,NA,5.3,12.9,0.41,2.3,4.1,0.56,2.7,11.6,2.2,1.3,1.3,2.7,3.5,12.9,8.6,0.438,0.41,0,0.321,6.5,13.4,6.2,1.3,2.3,15.2,15.5,88,97,-0.3,0.7,0.4,0.057,7,1,0.167,0.615,0.09,0.128,0,0.41,0.538,0.438,0.286,0.2,NA,0.875,NA,NA,NA,11.6,-3.3,5,9,6,1,13,NA,29,5,5,32,78,0,0,32,78,14,25,16,70,13,8,8,16,21,78,/wnba/players/r/russeme01w.html,13.818181818181818
Satou Sabally,DAL,2020,F,16,450,14,7.6,20.8,0.368,1.5,7.5,0.197,6.2,13.2,0.466,8.6,9.8,0.872,4.7,14.2,4.6,1.6,1.6,4,5.7,25.3,18.6,0.505,0.404,0.363,0.473,10,16.1,15.3,1.6,2.6,13.7,25.4,105,109,0.8,0.3,1,0.092,13,0.637,0.11,0.429,0.044,0.055,0.363,0.466,0.55,0.5,0.25,0.2,0.197,0.426,0.769,0.136,0.333,-6.8,-4.9,12,15,26,5,41,NA,100,10,12,67,182,13,66,54,116,75,86,41,124,40,14,14,35,50,222,/wnba/players/s/sabalsa01w.html,28.125
Katie Lou Samuelson,DAL,2020,F,22,439,4,4.7,11.2,0.417,2.2,7,0.317,2.5,4.2,0.583,1.3,1.8,0.733,0.9,6.2,3.5,1.8,1.1,1.4,3.7,12.9,11,0.536,0.516,0.625,0.156,2,7.1,10.7,1.8,1.7,10.5,11.7,110,112,0.5,0.1,0.6,0.056,18.6,0.375,0.083,0.167,0.063,0.063,0.625,0.583,0.875,0.813,0,0.167,0.317,0.762,1,0.1,0.167,-3.1,2.7,9,1,16,0,4,NA,73,0,1,40,96,19,60,21,36,11,15,8,53,30,15,9,12,32,110,/wnba/players/s/samueka02w.html,19.954545454545453
Kylee Shook,NYL,2020,F,20,290,0,5.4,13.4,0.405,0.5,2.9,0.176,4.9,10.5,0.468,2.4,2.9,0.824,2.6,9.5,1.9,1.2,1.7,3.4,4.4,13.8,8.2,0.468,0.424,0.215,0.215,5.6,10.6,7.5,1.2,2.6,18.8,16.2,85,106,-0.4,0.3,-0.1,-0.011,11.3,0.785,0.152,0.405,0.139,0.089,0.215,0.468,0.75,0.375,0.364,0.571,0.176,0.759,1,0.118,0,-27.7,-15.1,8,3,17,5,8,NA,27,1,13,32,79,3,17,29,62,14,17,15,56,11,7,10,20,26,81,/wnba/players/s/shookky01w.html,14.5
Odyssey Sims,MIN,2020,G,13,240,7,9.1,22.5,0.404,1.7,5.2,0.333,7.4,17.3,0.425,6.5,7.1,0.909,1.7,5.6,9.7,1.5,0.2,5.4,4.8,26.4,16,0.515,0.442,0.231,0.317,4.1,6.6,31.8,1.5,0.4,17.4,26.8,105,109,0.4,0.2,0.6,0.096,12.7,0.769,0.183,0.288,0.173,0.125,0.231,0.425,0.684,0.4,0.278,0.308,0.333,0.412,1,0,NA,2.6,-3.3,14,8,6,3,18,NA,105,5,6,42,104,8,24,34,80,30,33,8,26,45,7,1,25,22,122,/wnba/players/s/simsod01w.html,18.46153846153846
Kamiah Smalls,IND,2020,G,7,100,0,4.6,10.2,0.45,3.6,6.1,0.583,1,4.1,0.25,1,1,1,2.5,4.1,7.1,0.5,0.5,1,1.5,13.8,15,0.647,0.625,0.6,0.1,6,4.8,21.7,0.5,0.8,8.7,10.1,142,119,0.4,-0.1,0.3,0.114,18.2,0.4,0.05,0.2,0,0.15,0.6,0.25,1,0,NA,0.333,0.583,0.5,1,0.333,0.5,-9.9,0.1,1,1,1,0,1,NA,31,0,3,9,20,7,12,2,8,2,2,5,8,14,1,1,2,3,27,/wnba/players/s/smallka01w.html,14.285714285714286
Alanna Smith,PHO,2020,F,19,296,0,7.2,17.2,0.422,1.7,7.2,0.233,5.6,9.9,0.559,3.4,4.9,0.69,3.5,11.6,3.9,0.8,2.5,3,7.9,19.5,13.1,0.505,0.471,0.422,0.284,8.5,13.4,12.8,0.8,4.1,13.6,20,101,104,0.2,0.4,0.6,0.082,14.2,0.578,0.118,0.373,0.02,0.069,0.422,0.559,0.833,0.474,0.5,0.571,0.233,0.727,1,0.047,0.5,12.9,15.7,4,6,22,6,12,NA,57,2,6,43,102,10,43,33,59,20,29,21,69,23,5,15,18,47,116,/wnba/players/s/smithal01w.html,15.578947368421053
Azura Stevens,CHI,2020,F-C,13,355,13,8.2,16.5,0.5,2.1,5.5,0.385,6.1,11,0.557,2.4,2.8,0.85,2.5,10.8,2.8,1.7,3.4,2.8,5.5,21,17.6,0.591,0.564,0.331,0.169,6.5,13.2,8.4,1.7,5.3,13.6,18.5,110,101,0.7,0.6,1.3,0.144,13.2,0.669,0.144,0.314,0.136,0.076,0.331,0.557,0.941,0.541,0.375,0.222,0.385,0.75,1,0.282,0.455,6.9,5.3,6,9,18,3,11,NA,50,3,5,59,118,15,39,44,79,17,20,18,77,20,12,24,20,39,150,/wnba/players/s/steveaz01w.html,27.307692307692307
Breanna Stewart,SEA,2020,F,20,607,20,11.1,24.5,0.451,2.9,7.9,0.368,8.1,16.6,0.49,7.7,8.6,0.894,1.7,13.7,6,2.7,2.2,4.2,3.7,32.8,25.5,0.578,0.51,0.322,0.353,4.1,15.8,20.5,2.7,3.8,13,28.9,111,91,1.9,2,3.9,0.254,14.3,0.678,0.112,0.285,0.142,0.139,0.322,0.49,0.818,0.488,0.405,0.317,0.368,0.755,0.943,0.021,0,16.3,8.4,20,17,19,9,50,NA,171,8,11,133,295,35,95,98,200,93,104,20,165,72,33,26,51,45,394,/wnba/players/s/stewabr01w.html,30.35
Kiah Stokes,NYL,2020,C,22,601,22,4.2,11.2,0.372,1.6,7,0.235,2.5,4.3,0.596,0.3,0.6,0.571,2.3,12.1,2.1,0.9,2.1,2.4,3.7,10.3,8.3,0.45,0.445,0.62,0.051,5.1,13.5,8.2,0.9,3.3,17.2,12.4,86,105,-0.6,0.7,0.2,0.011,16.9,0.38,0.153,0.182,0.022,0.022,0.62,0.596,0.667,0.6,0.333,0.333,0.235,0.774,0.95,0.247,0.095,-16.3,3.8,9,10,25,6,2,NA,63,1,4,51,137,20,85,31,52,4,7,28,147,26,11,26,29,45,126,/wnba/players/s/stokeki01w.html,27.318181818181817
Shekinna Stricklen,ATL,2020,F,22,482,15,4.9,14.3,0.341,3.4,10.3,0.333,1.5,4,0.359,0.8,0.8,1,0.4,4.4,1.5,0.7,0.1,1.6,4.5,14,5.4,0.477,0.46,0.717,0.058,0.9,5,4.3,0.7,0.2,9.6,14.2,94,113,-0.1,0,-0.1,-0.01,20.7,0.283,0.051,0.116,0.065,0.051,0.717,0.359,0.286,0.375,0.444,0.286,0.333,0.5,0.97,0.051,0.2,-10.2,-3,8,6,17,1,1,NA,32,0,7,47,138,33,99,14,39,8,8,4,42,14,7,1,15,43,135,/wnba/players/s/stricsh01w.html,21.90909090909091
Carolyn Swords,LVA,2020,C,22,384,21,3,6.4,0.46,0,0,NA,3,6.4,0.46,2.2,2.8,0.773,4.2,13.1,2.6,0.6,0.1,2.3,2.7,8.1,9.1,0.528,0.46,0,0.44,10.4,15.1,6.9,0.6,0.2,23.2,8.9,107,102,0.3,0.6,1,0.1,6.1,1,0.36,0.38,0.22,0.04,0,0.46,0.722,0.421,0.182,0,NA,0.652,NA,NA,NA,9.9,-2.3,5,6,9,1,11,NA,42,0,5,23,50,0,0,23,50,17,22,33,102,20,5,1,18,21,63,/wnba/players/s/swordca01w.html,17.454545454545453
Brittney Sykes,LAS,2020,G,21,517,14,7.1,14.6,0.487,1.6,4.8,0.327,5.6,9.9,0.564,4.9,6.1,0.806,1.6,5.3,4.4,3,0.6,3.5,6.1,20.7,15.3,0.598,0.54,0.327,0.413,3.8,6.4,13.3,3,1.1,16.9,18.9,109,100,0.9,0.9,1.9,0.145,13.4,0.673,0.16,0.307,0.06,0.147,0.327,0.564,0.667,0.587,0.556,0.409,0.327,0.526,0.875,0.306,0.4,9.7,8.5,19,9,20,7,25,NA,106,2,6,73,150,16,49,57,101,50,62,16,54,45,31,6,36,62,212,/wnba/players/s/sykesbr01w.html,24.61904761904762
Diana Taurasi,PHO,2020,G,19,533,19,9,22,0.409,5.7,15.6,0.365,3.3,6.4,0.515,9.6,10.6,0.912,0.2,7.4,8,1.8,0.7,4.1,4.9,33.3,23.7,0.625,0.538,0.711,0.481,0.4,8.5,28.3,1.8,1.2,13.4,27.5,118,105,2.4,0.6,3,0.227,21.5,0.289,0.034,0.085,0.068,0.102,0.711,0.515,0.75,0.45,0.688,0.375,0.365,0.486,0.639,0.06,0.4,1,-3.6,28,10,14,4,41,NA,188,7,3,96,235,61,167,35,68,103,113,2,79,86,19,8,44,52,356,/wnba/players/t/tauradi01w.html,28.05263157894737
Alyssa Thomas,CON,2020,F,21,689,21,9,18,0.5,0,0.1,0,9,17.9,0.502,6,8.7,0.686,2.9,14,7.5,3.1,0.4,3.8,4.4,24,21.6,0.549,0.5,0.004,0.484,6.3,16.2,26.1,3.1,0.8,14.9,22.2,110,97,1.6,1.6,3.2,0.186,6,0.996,0.176,0.664,0.152,0.004,0.004,0.502,0.767,0.438,0.459,1,0,0.746,NA,0,NA,4.6,18.6,28,11,18,8,49,NA,233,8,15,122,244,0,1,122,243,81,118,39,190,101,42,6,52,59,325,/wnba/players/t/thomaal01w.html,32.80952380952381
Jasmine Thomas,CON,2020,G,19,485,19,8,19.7,0.404,2.2,6.6,0.333,5.8,13.1,0.44,2.2,2.4,0.913,0.4,3.5,8,2.5,0.5,4.8,3.1,20.4,12.3,0.49,0.46,0.335,0.122,0.9,4,27,2.5,0.9,18.8,22.1,93,103,-0.2,0.7,0.5,0.039,15.9,0.665,0.128,0.17,0.106,0.261,0.335,0.44,0.625,0.344,0.25,0.49,0.333,0.364,0.952,0.159,0.4,6.8,13.9,27,15,16,2,12,NA,162,3,7,76,188,21,63,55,125,21,23,4,33,76,24,5,46,30,194,/wnba/players/t/thomaja01w.html,25.526315789473685
Kayla Thornton,DAL,2020,F,22,557,14,5,11.6,0.429,2.3,6.6,0.347,2.7,5,0.537,2.6,3,0.875,3,10.4,1.6,1.8,0.4,2.3,6,14.8,11.3,0.575,0.528,0.571,0.254,6.3,11.9,4.8,1.8,0.6,15.1,13.3,110,111,0.8,0.2,0.9,0.067,17.5,0.429,0.103,0.222,0.032,0.079,0.571,0.537,0.923,0.5,0.25,0.2,0.347,0.759,0.92,0.139,0.5,-3.2,3.4,8,3,25,4,11,NA,43,0,3,54,126,25,72,29,54,28,32,32,113,17,19,4,25,65,161,/wnba/players/t/thornka01w.html,25.318181818181817
Brianna Turner,PHO,2020,F,22,613,22,5.4,9.3,0.579,0,0.1,0,5.4,9.2,0.584,2.2,3.4,0.643,4.6,16.1,3.2,2,3.5,2.5,5.4,12.9,16.9,0.6,0.579,0.009,0.368,11.1,18.6,9.9,2,5.7,19,11.9,116,98,1.2,1.3,2.5,0.163,4.7,0.991,0.333,0.588,0.053,0.018,0.009,0.584,0.684,0.567,0.333,0,0,0.879,NA,0,NA,2.9,1.7,15,8,39,8,18,NA,96,6,12,66,114,0,1,66,113,27,42,57,198,39,24,43,31,66,159,/wnba/players/t/turnebr01w.html,27.863636363636363
Courtney Vandersloot,CHI,2020,G,22,693,22,7.7,15.6,0.491,2.1,5.4,0.395,5.5,10.2,0.542,4,4.5,0.889,0.8,5.5,15.7,1.9,0.6,3.9,3.3,21.5,23,0.61,0.56,0.349,0.289,2,6.8,46.3,1.9,0.9,18,19.3,125,106,3.4,0.7,4.1,0.234,13.7,0.651,0.147,0.33,0.069,0.106,0.349,0.542,0.844,0.431,0.267,0.652,0.395,0.208,0.8,0.053,0.5,9.2,26.7,35,14,20,1,31,NA,508,6,7,107,218,30,76,77,142,56,63,11,77,219,26,8,54,46,300,/wnba/players/v/vandeco01w.html,31.5
Kia Vaughn,PHO,2020,C,22,415,10,7.5,15.3,0.488,0,0.2,0,7.5,15,0.496,1.3,2.3,0.579,2.9,9.6,4.1,1.3,0.8,4.1,4.7,16.2,10.2,0.499,0.488,0.016,0.15,6.9,11.1,13.6,1.3,1.4,20.1,18.2,92,106,-0.2,0.4,0.2,0.018,11.8,0.984,0.134,0.252,0.244,0.354,0.016,0.496,0.824,0.438,0.581,0.356,0,0.855,NA,0,NA,-0.6,-5.7,8,8,18,9,8,NA,83,3,5,62,127,0,2,62,125,11,19,24,80,34,11,7,34,39,135,/wnba/players/v/vaughki01w.html,18.863636363636363
Victoria Vivians,IND,2020,G,6,85,0,6,17.4,0.345,1.2,6.6,0.182,4.8,10.8,0.444,4.2,4.8,0.875,1.2,8.4,1.8,0.6,0,3.6,9,17.4,3.4,0.446,0.379,0.379,0.276,2.8,9.9,5.7,0.6,0,15.6,20.1,85,116,-0.1,0,-0.2,-0.083,15.6,0.621,0.034,0.276,0.172,0.138,0.379,0.444,1,0.625,0.2,0.25,0.182,0.375,0.5,0.182,0,1.1,12.3,4,0,8,0,4,NA,7,2,2,10,29,2,11,8,18,7,8,2,14,3,1,0,6,15,29,/wnba/players/v/viviavi01w.html,14.166666666666666
Megan Walker,NYL,2020,F,18,205,0,6,18.8,0.321,1.4,10.3,0.14,4.6,8.4,0.543,0.7,1.2,0.6,2.6,6.5,1.4,1,0,1.7,3.6,14.2,4.2,0.368,0.359,0.551,0.064,5.8,7.2,6,1,0,8,18.7,78,111,-0.5,0.1,-0.4,-0.083,18.6,0.449,0.064,0.179,0.064,0.141,0.551,0.543,0.8,0.714,0.2,0.364,0.14,0.737,1,0.093,0,-30.9,-17.3,3,3,11,1,3,NA,15,1,7,25,78,6,43,19,35,3,5,11,27,6,4,0,7,15,59,/wnba/players/w/walkeme01w.html,11.38888888888889
Shatori Walker-Kimbrough,PHO,2020,G,21,400,10,6.7,15.7,0.429,2.7,6.4,0.431,4,9.4,0.427,2.9,3.1,0.92,0.7,4.2,4,2.9,1,2.6,3,19.1,14.1,0.558,0.516,0.405,0.198,1.8,4.9,13,2.9,1.6,13.3,17.6,105,105,0.5,0.5,0.9,0.092,16.4,0.595,0.087,0.23,0.071,0.206,0.405,0.427,0.636,0.345,0.556,0.385,0.431,0.469,0.818,0.235,0.417,4.7,4.2,11,4,12,0,13,NA,74,3,8,54,126,22,51,32,75,23,25,6,34,32,23,8,21,24,153,/wnba/players/w/walkesh01w.html,19.047619047619047
Sami Whitcomb,SEA,2020,G,22,363,0,8.6,19.5,0.443,4.4,11.7,0.381,4.2,7.8,0.536,3.1,3.1,1,0.6,6.9,6.1,2.2,0.4,3.1,4.3,24.7,17.8,0.595,0.557,0.6,0.157,1.4,8,19.4,2.2,0.7,12.8,21.2,112,98,0.9,0.8,1.7,0.186,17.5,0.4,0.093,0.221,0.036,0.05,0.6,0.536,0.692,0.484,0,0.857,0.381,0.367,0.969,0.19,0.313,10.8,-5,15,5,19,0,11,NA,93,2,5,62,140,32,84,30,56,22,22,4,50,44,16,3,22,31,178,/wnba/players/w/whitcsa01w.html,16.5
Sydney Wiese,LAS,2020,G,19,363,15,6.5,12.9,0.505,3.5,7.4,0.472,3.1,5.6,0.55,1.5,1.7,0.917,0.7,4.6,3.1,1.5,0.3,3.1,2.4,18.1,12.9,0.661,0.64,0.57,0.129,1.7,5.6,9.1,1.5,0.5,18.3,15.2,109,104,0.5,0.5,1,0.108,17,0.43,0.14,0.204,0,0.086,0.57,0.55,0.846,0.421,NA,0.375,0.472,0.727,0.84,0.17,0.333,5.4,-1.3,14,7,10,0,8,NA,51,4,3,47,93,25,53,22,40,11,12,5,33,22,11,2,22,17,130,/wnba/players/w/wiesesy01w.html,19.105263157894736
Courtney Williams,ATL,2020,G,20,615,14,10.9,25,0.436,0.7,2.8,0.235,10.2,22.2,0.462,1.3,1.9,0.696,3,11.6,5.1,1.1,0.2,4.4,3.2,23.7,13.5,0.46,0.45,0.111,0.075,6.8,13.5,18.3,1.1,0.3,14.6,26.4,91,110,-0.6,0.3,-0.3,-0.018,14.9,0.889,0.039,0.192,0.277,0.381,0.111,0.462,0.5,0.525,0.365,0.496,0.235,0.421,0.75,0.088,0,-9.3,-1.7,31,17,16,1,12,NA,147,5,10,134,307,8,34,126,273,16,23,37,143,63,13,2,54,39,292,/wnba/players/w/willico01w.html,30.75
Elizabeth Williams,ATL,2020,C-F,22,647,22,6.7,13.8,0.489,0,0,NA,6.7,13.8,0.489,3.8,5.1,0.742,3.8,9.7,2.4,1.3,2.3,1.9,4.4,17.2,15.5,0.539,0.489,0,0.371,8.6,11.2,7.5,1.3,4,10.8,15.7,111,108,1.2,0.4,1.6,0.101,4.5,1,0.309,0.612,0.067,0.011,0,0.489,0.564,0.495,0.167,0,NA,0.724,NA,NA,NA,-7.8,3.7,9,5,28,7,28,NA,76,4,21,87,178,0,0,87,178,49,66,49,125,31,17,30,25,57,223,/wnba/players/w/williel01w.html,29.40909090909091
Gabby Williams,CHI,2020,F,22,546,4,6.1,14.4,0.424,1.8,6.4,0.286,4.3,8,0.534,1.5,2.3,0.64,1.8,8,4,2.6,0.5,3.4,2.9,15.4,11.3,0.503,0.487,0.443,0.158,4.7,9.8,11.3,2.6,0.7,18,16.8,95,104,-0.1,0.7,0.7,0.048,15.7,0.557,0.139,0.234,0.07,0.114,0.443,0.534,0.727,0.568,0.182,0.444,0.286,0.617,1,0.114,0.25,0.1,-9.6,23,10,17,4,12,NA,97,3,6,67,158,20,70,47,88,16,25,20,88,44,29,5,37,32,170,/wnba/players/w/williga01w.html,24.818181818181817
Riquna Williams,LAS,2020,G,21,444,4,9.2,21.1,0.435,4.9,11.6,0.422,4.3,9.5,0.452,1.8,2,0.889,0.3,4.3,3.5,2.7,0.8,2.2,4.7,25.1,16.7,0.57,0.551,0.548,0.097,0.8,5.3,11.4,2.7,1.5,8.9,22,107,101,0.7,0.8,1.5,0.136,19.1,0.452,0.043,0.129,0.113,0.167,0.548,0.452,0.75,0.5,0.238,0.484,0.422,0.368,0.953,0.196,0.6,0.5,-11.2,11,3,20,4,5,NA,67,1,2,81,186,43,102,38,84,16,18,3,38,31,24,7,19,41,221,/wnba/players/w/williri02w.html,21.142857142857142
