wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Diamond DeShields,/wnba/players/d/deshidi01w.html,deshidi01w,2021,2021,WNBA,Kelan Martin,2022,0.10891471763615491,NBA,7,Brandon Boston Jr.,0.13055252107447382,Tre Mann,0.20813206624129202,Tim Hardaway Jr.,0.2319564082866261,Collin Sexton,0.2372985584367798,/players/m/martike03.html,martike03,/players/b/bostobr01.html,bostobr01,/players/m/manntr01.html,manntr01,/players/h/hardati02.html,hardati02,/players/s/sextoco01.html,sextoco01
Blake Dietrick,/wnba/players/d/dietrbl01w.html,dietrbl01w,2021,2021,WNBA,Garrett Temple,2022,0.13143772699603523,NBA,6,Alfonzo McKinnie,0.20486347987949347,Rudy Gay,0.224551632286111,Stanley Johnson,0.23079704354986172,Aaron Wiggins,0.2510310183403102,/players/t/templga01.html,templga01,/players/m/mckinal01.html,mckinal01,/players/g/gayru01.html,gayru01,/players/j/johnsst04.html,johnsst04,/players/w/wiggiaa01.html,wiggiaa01
Skylar Diggins-Smith,/wnba/players/d/diggisk01w.html,diggisk01w,2021,2021,WNBA,Jayson Tatum,2022,0.029954827093220216,NBA,5,Shai Gilgeous-Alexander,0.06390206746601793,Russell Westbrook,0.11192423007721328,Pascal Siakam,0.15210705434985008,Moritz Wagner,0.3721557060561182,/players/t/tatumja01.html,tatumja01,/players/g/gilgesh01.html,gilgesh01,/players/w/westbru01.html,westbru01,/players/s/siakapa01.html,siakapa01,/players/w/wagnemo01.html,wagnemo01
Stefanie Dolson,/wnba/players/d/dolsost01w.html,dolsost01w,2021,2021,WNBA,Serge Ibaka,2022,0.002727084475271509,NBA,6,Maurice Harkless,0.0056180812181055246,David Nwaba,0.006898278104130755,Kessler Edwards,0.0070953755961404245,Caleb Martin,0.00798128002777067,/players/i/ibakase01.html,ibakase01,/players/h/harklma01.html,harklma01,/players/n/nwabada01.html,nwabada01,/players/e/edwarke02.html,edwarke02,/players/m/martica02.html,martica02
Sylvia Fowles,/wnba/players/f/fowlesy01w.html,fowlesy01w,2021,2021,WNBA,Isaiah Jackson,2022,0.012872975809733614,NBA,1,Greg Monroe,0.013446436597648959,Jusuf Nurkić,0.01608639221054757,Jakob Poeltl,0.016326282703013298,Brandon Clarke,0.01877679248420482,/players/j/jacksis01.html,jacksis01,/players/m/monrogr01.html,monrogr01,/players/n/nurkiju01.html,nurkiju01,/players/p/poeltja01.html,poeltja01,/players/c/clarkbr01.html,clarkbr01
Allisha Gray,/wnba/players/g/grayal01w.html,grayal01w,2021,2021,WNBA,Maurice Harkless,2022,0.003370960836629992,NBA,6,David Nwaba,0.004638003514268094,Serge Ibaka,0.004956254125382272,Kessler Edwards,0.0050033333370122345,David Duke Jr.,0.009385128840659372,/players/h/harklma01.html,harklma01,/players/n/nwabada01.html,nwabada01,/players/i/ibakase01.html,ibakase01,/players/e/edwarke02.html,edwarke02,/players/d/dukeda01.html,dukeda01
Chelsea Gray,/wnba/players/g/graych01w.html,graych01w,2021,2021,WNBA,Eric Bledsoe,2022,0.01291241159823709,NBA,3,Monte Morris,0.024878177090011548,Keon Johnson,0.056768448765910536,Aaron Holiday,0.07410270050278309,Brad Wanamaker,0.07549266779433353,/players/b/bledser01.html,bledser01,/players/m/morrimo01.html,morrimo01,/players/j/johnske07.html,johnske07,/players/h/holidaa01.html,holidaa01,/players/w/wanambr01.html,wanambr01
Reshanda Gray,/wnba/players/g/grayre01w.html,grayre01w,2021,2021,WNBA,Javonte Green,2022,0.004092847757529361,NBA,6,Wenyen Gabriel,0.004225196921438552,Trey Lyles,0.004482659377723771,Kenyon Martin Jr.,0.004712916582319814,Derrick Jones Jr.,0.005436119145833451,/players/g/greenja02.html,greenja02,/players/g/gabriwe01.html,gabriwe01,/players/l/lylestr01.html,lylestr01,/players/m/martike04.html,martike04,/players/j/jonesde02.html,jonesde02
Brittney Griner,/wnba/players/g/grinebr01w.html,grinebr01w,2021,2021,WNBA,Robin Lopez,2022,0.004780380898778538,NBA,1,Clint Capela,0.004940034135720426,Cody Zeller,0.00496587334275698,Kevon Looney,0.005127193561571992,Onyeka Okongwu,0.00513022699454905,/players/l/lopezro01.html,lopezro01,/players/c/capelca01.html,capelca01,/players/z/zelleco01.html,zelleco01,/players/l/looneke01.html,looneke01,/players/o/okongon01.html,okongon01
Arella Guirantes,/wnba/players/g/guiraar01w.html,guiraar01w,2021,2021,WNBA,Talen Horton-Tucker,2022,0.13881452924618998,NBA,3,Terrence Ross,0.15333605756959162,Derrick White,0.17831735232155863,Keon Johnson,0.18378522752102017,Ayo Dosunmu,0.185771151166495,/players/h/hortota01.html,hortota01,/players/r/rosste01.html,rosste01,/players/w/whitede01.html,whitede01,/players/j/johnske07.html,johnske07,/players/d/dosunay01.html,dosunay01
Dearica Hamby,/wnba/players/h/hambyde01w.html,hambyde01w,2021,2021,WNBA,Olivier Sarr,2022,7.415421262328515e-4,NBA,6,Precious Achiuwa,0.0019073177975444033,Taj Gibson,0.003858509592698741,Marvin Bagley III,0.003918066753409463,Kenyon Martin Jr.,0.004267508460414629,/players/s/sarrol01.html,sarrol01,/players/a/achiupr01.html,achiupr01,/players/g/gibsota01.html,gibsota01,/players/b/baglema01.html,baglema01,/players/m/martike04.html,martike04
Isabelle Harrison,/wnba/players/h/harriis01w.html,harriis01w,2021,2021,WNBA,Drew Eubanks,2022,0.04141654917023868,NBA,1,Mamadi Diakite,0.18220040149187683,Richaun Holmes,0.23056686848204933,Damian Jones,0.24679832182026584,Isaiah Stewart,0.2540062895656526,/players/e/eubandr01.html,eubandr01,/players/d/diakima01.html,diakima01,/players/h/holmeri01.html,holmeri01,/players/j/jonesda03.html,jonesda03,/players/s/stewais01.html,stewais01
Tyasha Harris,/wnba/players/h/harrity01w.html,harrity01w,2021,2021,WNBA,Trent Forrest,2022,0.08022868219538282,NBA,3,Delon Wright,0.1544273726152488,Facundo Campazzo,0.207139476961881,Ayo Dosunmu,0.22931187806013287,Brandon Goodwin,0.23512283453118937,/players/f/forretr01.html,forretr01,/players/w/wrighde01.html,wrighde01,/players/c/campafa01.html,campafa01,/players/d/dosunay01.html,dosunay01,/players/g/goodwbr01.html,goodwbr01
Bernadett Hatar,/wnba/players/h/hatarbe01w.html,hatarbe01w,2021,2021,WNBA,Mamadi Diakite,2022,0.024255754489078726,NBA,1,Richaun Holmes,0.045783001508695485,Isaiah Stewart,0.06601945951369138,Evan Mobley,0.11762891690428705,Dwight Powell,0.1502853815067993,/players/d/diakima01.html,diakima01,/players/h/holmeri01.html,holmeri01,/players/s/stewais01.html,stewais01,/players/m/mobleev01.html,mobleev01,/players/p/poweldw01.html,poweldw01
Tianna Hawkins,/wnba/players/h/hawkiti01w.html,hawkiti01w,2021,2021,WNBA,Herbert Jones,2022,0.027677962912583516,NBA,6,Obi Toppin,0.11157803986417361,Chimezie Metu,0.1129749215139783,Isaiah Roby,0.12093821939246481,Larry Nance Jr.,0.131140203140677,/players/j/joneshe01.html,joneshe01,/players/t/toppiob01.html,toppiob01,/players/m/metuch01.html,metuch01,/players/r/robyis01.html,robyis01,/players/n/nancela02.html,nancela02
Tiffany Hayes,/wnba/players/h/hayesti01w.html,hayesti01w,2021,2021,WNBA,D.J. Augustin,2022,0.0127836462112267,NBA,3,Garrison Mathews,0.01327696483214648,Raul Neto,0.013387442452371843,Tre Jones,0.013416157016249925,Rajon Rondo,0.014176314146509687,/players/a/augusdj01.html,augusdj01,/players/m/mathega01.html,mathega01,/players/n/netora01.html,netora01,/players/j/jonestr01.html,jonestr01,/players/r/rondora01.html,rondora01
Ruthy Hebard,/wnba/players/h/hebarru01w.html,hebarru01w,2021,2021,WNBA,Damian Jones,2022,0.03176906974319902,NBA,6,Derrick Favors,0.22396370225090634,Alex Len,0.22857837192961433,Drew Eubanks,0.2570986808330252,Khem Birch,0.3132005913934516,/players/j/jonesda03.html,jonesda03,/players/f/favorde01.html,favorde01,/players/l/lenal01.html,lenal01,/players/e/eubandr01.html,eubandr01,/players/b/birchkh01.html,birchkh01
Natisha Hiedeman,/wnba/players/h/hiedena01w.html,hiedena01w,2021,2021,WNBA,Devonte' Graham,2022,0.07834861615807522,NBA,7,Ty Jerome,0.10991403399218924,Lonnie Walker IV,0.13135630746034913,Anthony Edwards,0.1321315954233837,Théo Maledon,0.14360465211659354,/players/g/grahade01.html,grahade01,/players/j/jeromty01.html,jeromty01,/players/w/walkelo01.html,walkelo01,/players/e/edwaran01.html,edwaran01,/players/m/maledth01.html,maledth01
Myisha Hines-Allen,/wnba/players/h/hinesmy01w.html,hinesmy01w,2021,2021,WNBA,DeMarcus Cousins,2022,0.13796790223648556,NBA,5,Kevin Love,0.14531606881784365,Brook Lopez,0.15924543299705782,Nikola Vučević,0.16982043420251774,Jerami Grant,0.17675568645393971,/players/c/couside01.html,couside01,/players/l/loveke01.html,loveke01,/players/l/lopezbr01.html,lopezbr01,/players/v/vucevni01.html,vucevni01,/players/g/grantje01.html,grantje01
Natasha Howard,/wnba/players/h/howarna01w.html,howarna01w,2021,2021,WNBA,Danilo Gallinari,2022,0.0491290455281669,NBA,6,Luka Garza,0.04989547192432737,Jeremy Lamb,0.050214471076635146,Lamar Stevens,0.05042955831686587,Jalen McDaniels,0.05064054033948213,/players/g/gallida01.html,gallida01,/players/g/garzalu01.html,garzalu01,/players/l/lambje01.html,lambje01,/players/s/stevela01.html,stevela01,/players/m/mcdanja01.html,mcdanja01
Sabrina Ionescu,/wnba/players/i/ionessa01w.html,ionessa01w,2021,2021,WNBA,De'Anthony Melton,2022,0.0646910859146916,NBA,4,Jose Alvarado,0.19172356049464587,Josh Hart,0.19498745828039782,Chuma Okeke,0.21166505289884366,Jae Crowder,0.21870320290318124,/players/m/meltode01.html,meltode01,/players/a/alvarjo01.html,alvarjo01,/players/h/hartjo01.html,hartjo01,/players/o/okekech01.html,okekech01,/players/c/crowdja01.html,crowdja01
Briann January,/wnba/players/j/januabr01w.html,januabr01w,2021,2021,WNBA,Seth Curry,2022,0.020613666430007067,NBA,3,Malachi Flynn,0.07845636907817913,Josh Christopher,0.0848922477076259,Talen Horton-Tucker,0.11139639499803473,George Hill,0.14487135901027828,/players/c/curryse01.html,curryse01,/players/f/flynnma01.html,flynnma01,/players/c/chrisjo01.html,chrisjo01,/players/h/hortota01.html,hortota01,/players/h/hillge01.html,hillge01
Moriah Jefferson,/wnba/players/j/jeffemo01w.html,jeffemo01w,2021,2021,WNBA,Goran Dragić,2022,0.008155332522543815,NBA,3,Tyus Jones,0.012965897924628596,Aaron Holiday,0.020272694063757885,Tyrese Haliburton,0.03182845731239066,Xavier Moon,0.0356606883522216,/players/d/dragigo01.html,dragigo01,/players/j/jonesty01.html,jonesty01,/players/h/holidaa01.html,holidaa01,/players/h/halibty01.html,halibty01,/players/m/moonxa01.html,moonxa01
Brionna Jones,/wnba/players/j/jonesbr01w.html,jonesbr01w,2021,2021,WNBA,DeAndre' Bembry,2022,0.056879152896883965,NBA,6,Jaxson Hayes,0.07663122057367018,Khem Birch,0.1456625356229418,Dewayne Dedmon,0.1690789059911405,Scottie Barnes,0.17722405347292092,/players/b/bembrde01.html,bembrde01,/players/h/hayesja02.html,hayesja02,/players/b/birchkh01.html,birchkh01,/players/d/dedmode01.html,dedmode01,/players/b/barnesc01.html,barnesc01
Jazmine Jones,/wnba/players/j/jonesja02w.html,jonesja02w,2021,2021,WNBA,Jeff Green,2022,0.03242439855630765,NBA,6,Jeremy Lamb,0.033263874812979106,Danilo Gallinari,0.0405972324778598,Jalen McDaniels,0.042537267482184914,Lamar Stevens,0.04427525551150506,/players/g/greenje02.html,greenje02,/players/l/lambje01.html,lambje01,/players/g/gallida01.html,gallida01,/players/m/mcdanja01.html,mcdanja01,/players/s/stevela01.html,stevela01
Jonquel Jones,/wnba/players/j/jonesjo01w.html,jonesjo01w,2021,2021,WNBA,Brook Lopez,2022,0.005072125981251527,NBA,5,Jaren Jackson Jr.,0.03312171568577333,Kevin Love,0.03652037881231965,Jerami Grant,0.07385299276565263,Karl-Anthony Towns,0.07390659843299818,/players/l/lopezbr01.html,lopezbr01,/players/j/jacksja02.html,jacksja02,/players/l/loveke01.html,loveke01,/players/g/grantje01.html,grantje01,/players/t/townska01.html,townska01
Betnijah Laney,/wnba/players/l/laneybe01w.html,laneybe01w,2021,2021,WNBA,Lou Williams,2022,0.01580961092669329,NBA,7,Caris LeVert,0.017247000390082725,Immanuel Quickley,0.019295630266276374,Ricky Rubio,0.02543984081997033,Spencer Dinwiddie,0.026375963482342828,/players/w/willilo02.html,willilo02,/players/l/leverca01.html,leverca01,/players/q/quickim01.html,quickim01,/players/r/rubiori01.html,rubiori01,/players/d/dinwisp01.html,dinwisp01
Jantel Lavender,/wnba/players/l/lavenja01w.html,lavenja01w,2021,2021,WNBA,Brook Lopez,2022,0.13323874425948132,NBA,5,Nikola Vučević,0.13668911175757073,Jaren Jackson Jr.,0.13694073814120178,Jerami Grant,0.13828221707251537,LeBron James,0.13966969963274112,/players/l/lopezbr01.html,lopezbr01,/players/v/vucevni01.html,vucevni01,/players/j/jacksja02.html,jacksja02,/players/g/grantje01.html,grantje01,/players/j/jamesle01.html,jamesle01
Jewell Loyd,/wnba/players/l/loydje01w.html,loydje01w,2021,2021,WNBA,Donovan Mitchell,2022,6.387391980283185e-4,NBA,7,Dillon Brooks,7.226829897086023e-4,Paul George,8.730413584619797e-4,Khris Middleton,0.0013528824472188276,Chris Paul,0.0020628112069444116,/players/m/mitchdo01.html,mitchdo01,/players/b/brookdi01.html,brookdi01,/players/g/georgpa01.html,georgpa01,/players/m/middlkh01.html,middlkh01,/players/p/paulch01.html,paulch01
Marina Mabrey,/wnba/players/m/mabrema01w.html,mabrema01w,2021,2021,WNBA,Lance Stephenson,2022,0.0024984130194433546,NBA,7,Jaylen Brown,0.002530382127322376,Stephen Curry,0.0026628771298075143,Kyrie Irving,0.0027733030373027928,Devin Booker,0.0028726438833770237,/players/s/stephla01.html,stephla01,/players/b/brownja02.html,brownja02,/players/c/curryst01.html,curryst01,/players/i/irvinky01.html,irvinky01,/players/b/bookede01.html,bookede01
Ezi Magbegor,/wnba/players/m/magbeez01w.html,magbeez01w,2021,2021,WNBA,Evan Mobley,2022,0.4223448632699894,NBA,1,Bam Adebayo,0.49002693485639065,Miles Bridges,0.5128532754901551,Mamadi Diakite,0.5258594398613716,Drew Eubanks,0.5317654748143398,/players/m/mobleev01.html,mobleev01,/players/a/adebaba01.html,adebaba01,/players/b/bridgmi02.html,bridgmi02,/players/d/diakima01.html,diakima01,/players/e/eubandr01.html,eubandr01
Kayla McBride,/wnba/players/m/mcbrika01w.html,mcbrika01w,2021,2021,WNBA,Kentavious Caldwell-Pope,2022,0.18543436440072494,NBA,3,Josh Richardson,0.20655615481162776,Georgios Kalaitzakis,0.2384976531878784,Cam Reddish,0.27491431563106106,Bryn Forbes,0.28776329455546745,/players/c/caldwke01.html,caldwke01,/players/r/richajo01.html,richajo01,/players/k/kalaige01.html,kalaige01,/players/r/reddica01.html,reddica01,/players/f/forbebr01.html,forbebr01
Erica McCall,/wnba/players/m/mccaler01w.html,mccaler01w,2021,2021,WNBA,Dwight Powell,2022,0.01214184721894821,NBA,1,Tristan Thompson,0.05382391555291163,Jarrett Allen,0.06047915090153806,Isaiah Stewart,0.10002240461764847,Ivica Zubac,0.10496233264839039,/players/p/poweldw01.html,poweldw01,/players/t/thomptr01.html,thomptr01,/players/a/allenja01.html,allenja01,/players/s/stewais01.html,stewais01,/players/z/zubaciv01.html,zubaciv01
