wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Odyssey Sims,/wnba/players/s/simsod01w.html,simsod01w,2021,2021,WNBA,Garrison Mathews,2022,0.01307522665396716,NBA,3,D.J. Augustin,0.01536134122607868,Raul Neto,0.01556357901445684,Tre Jones,0.01686783693204386,Kris Dunn,0.01967726049905795,/players/m/mathega01.html,mathega01,/players/a/augusdj01.html,augusdj01,/players/n/netora01.html,netora01,/players/j/jonestr01.html,jonestr01,/players/d/dunnkr01.html,dunnkr01
Azura Stevens,/wnba/players/s/steveaz01w.html,steveaz01w,2021,2021,WNBA,Nassir Little,2022,0.00358543320969838,NBA,6,Greg Brown III,0.01262631264181215,Grant Williams,0.02722192113532338,Darius Bazley,0.02724820764448558,Thomas Bryant,0.03013106089816018,/players/l/littlna01.html,littlna01,/players/b/browngr01.html,browngr01,/players/w/willigr01.html,willigr01,/players/b/bazleda01.html,bazleda01,/players/b/bryanth01.html,bryanth01
Breanna Stewart,/wnba/players/s/stewabr01w.html,stewabr01w,2021,2021,WNBA,Karl-Anthony Towns,2022,0.00785884364394509,NBA,5,Josh Giddey,0.014520619402462921,Brandon Ingram,0.01683643037992093,Anthony Davis,0.01695460460316161,LeBron James,0.01769605673517432,/players/t/townska01.html,townska01,/players/g/giddejo01.html,giddejo01,/players/i/ingrabr01.html,ingrabr01,/players/d/davisan02.html,davisan02,/players/j/jamesle01.html,jamesle01
Brittney Sykes,/wnba/players/s/sykesbr01w.html,sykesbr01w,2021,2021,WNBA,Trendon Watford,2022,0.3670474545479874,NBA,4,P.J. Washington,0.36714452743112247,Killian Tillie,0.3687833537096488,James Johnson,0.3797075321329199,Nicolas Batum,0.39150556139270054,/players/w/watfotr01.html,watfotr01,/players/w/washipj01.html,washipj01,/players/t/tilliki02.html,tilliki02,/players/j/johnsja01.html,johnsja01,/players/b/batumni01.html,batumni01
Stephanie Talbot,/wnba/players/t/talbost01w.html,talbost01w,2021,2021,WNBA,James Johnson,2022,0.10025490732897312,NBA,4,Nicolas Batum,0.10053204080383928,Killian Tillie,0.10360838320439716,P.J. Washington,0.10703839430999984,Jamorko Pickett,0.16759593828748393,/players/j/johnsja01.html,johnsja01,/players/b/batumni01.html,batumni01,/players/t/tilliki02.html,tilliki02,/players/w/washipj01.html,washipj01,/players/p/pickeja01.html,pickeja01
Diana Taurasi,/wnba/players/t/tauradi01w.html,tauradi01w,2021,2021,WNBA,LeBron James,2022,9.154019981920533e-4,NBA,5,Brandon Ingram,0.00300002781462155,Josh Giddey,0.00973120652642403,Anthony Davis,0.01319643992512953,Karl-Anthony Towns,0.01324273155768687,/players/j/jamesle01.html,jamesle01,/players/i/ingrabr01.html,ingrabr01,/players/g/giddejo01.html,giddejo01,/players/d/davisan02.html,davisan02,/players/t/townska01.html,townska01
Jasmine Thomas,/wnba/players/t/thomaja01w.html,thomaja01w,2021,2021,WNBA,Aaron Holiday,2022,0.0341241433014898,NBA,3,Eric Bledsoe,0.04590812331772036,Monte Morris,0.04862355748651564,Goran Dragić,0.04930555979397905,Keon Johnson,0.04990946858351176,/players/h/holidaa01.html,holidaa01,/players/b/bledser01.html,bledser01,/players/m/morrimo01.html,morrimo01,/players/d/dragigo01.html,dragigo01,/players/j/johnske07.html,johnske07
Kayla Thornton,/wnba/players/t/thornka01w.html,thornka01w,2021,2021,WNBA,Torrey Craig,2022,0.03809315488366101,NBA,6,Romeo Langford,0.05306507162359113,Joshua Primo,0.05474489457283688,Danuel House Jr.,0.08240385114669677,Keldon Johnson,0.0843043342348409,/players/c/craigto01.html,craigto01,/players/l/langfro01.html,langfro01,/players/p/primojo01.html,primojo01,/players/h/houseda01.html,houseda01,/players/j/johnske04.html,johnske04
Kristi Toliver,/wnba/players/t/tolivkr01w.html,tolivkr01w,2021,2021,WNBA,Franz Wagner,2022,0.06214388635563395,NBA,2,Gabe Vincent,0.1649458126074365,Jevon Carter,0.2223198088947467,Austin Reaves,0.2660771874620251,Avery Bradley,0.26821077971711466,/players/w/wagnefr01.html,wagnefr01,/players/v/vincega01.html,vincega01,/players/c/carteje01.html,carteje01,/players/r/reaveau01.html,reaveau01,/players/b/bradlav01.html,bradlav01
Brianna Turner,/wnba/players/t/turnebr01w.html,turnebr01w,2021,2021,WNBA,Steven Adams,2022,6.451442894686659e-7,NBA,1,Robert Williams,7.505041318553175e-7,Jericho Sims,1.211281173475254e-6,Mitchell Robinson,1.281071259586694e-6,Mason Plumlee,3.026033330369462e-6,/players/a/adamsst01.html,adamsst01,/players/w/williro04.html,williro04,/players/s/simsje01.html,simsje01,/players/r/robinmi01.html,robinmi01,/players/p/plumlma01.html,plumlma01
