player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Kristin Haynie,TOT,2009,G,29,317,3,10.7,28.6,0.375,2.6,9.1,0.286,8.1,19.5,0.417,5.5,6.8,0.81,2.6,13,9.4,8.8,0.3,8.1,8.8,29.5,12.1,0.468,0.42,0.318,0.239,3.1,7.7,15.5,4.5,0.3,20.5,17.1,91,97,0,0.5,0.5,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/haynikr01w.html
Tasha Humphrey,TOT,2009,C,28,407,4,9.3,24.9,0.373,3.3,10.6,0.31,6,14.2,0.421,3.6,4.6,0.774,1.9,10.8,1.6,1.9,1.3,3,10.3,25.5,11.5,0.473,0.44,0.428,0.187,3.7,10.8,5,1.6,1.8,10,21.6,95,104,0.2,0.3,0.5,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/humphta01w.html
Crystal Kelly,TOT,2009,F,34,367,4,20.5,49.1,0.418,0,0.6,0,20.5,48.5,0.423,39.2,46.6,0.84,16.2,33,7.5,6.8,1.9,20.5,34.8,80.2,11.1,0.576,0.418,0.013,0.949,8.8,9,5.4,1.6,0.7,22.8,17.5,104,105,0.6,0.1,0.8,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/k/kellycr01w.html
Katie Mattera,TOT,2009,C,15,102,0,36.8,57.5,0.64,0,0,NA,36.8,57.5,0.64,18.4,34.5,0.533,20.7,64.4,2.3,2.3,20.7,43.7,50.6,92,10.3,0.633,0.64,0,0.6,11.1,17,1.9,0.5,6.9,37.5,23.1,79,100,-0.2,0.1,-0.1,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/m/matteka01w.html
Armintie Herrington,TOT,2009,G,33,421,0,15.9,41.8,0.381,0,0,NA,15.9,41.8,0.381,14.4,24.9,0.58,15.9,37.3,14.9,7.5,1.5,13.4,21.9,46.2,9.1,0.439,0.381,0,0.595,9.2,10.7,11.6,1.9,0.6,20.3,14.2,91,105,0,0.2,0.2,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/p/pricear01w.html
Nikki Teasley,TOT,2009,G,21,456,17,5.6,14.4,0.391,3.5,9.8,0.362,2.1,4.6,0.455,2.1,2.5,0.833,0.6,6.5,12.3,3.1,1,5.8,9.2,16.9,8.1,0.545,0.514,0.681,0.174,0.8,4,18.8,1.6,0.9,27.4,9.7,101,103,0.3,0.4,0.7,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/t/teaslni01w.html
Tamera Young,TOT,2009,F,21,201,6,16.9,49.4,0.342,2,8.8,0.231,14.9,40.6,0.367,18.3,23.7,0.771,10.8,29.8,8.1,8.8,3.4,13.5,18.3,54.1,13.6,0.452,0.363,0.178,0.479,9.5,13.1,10,3.3,2,18.5,23.8,90,98,-0.1,0.3,0.2,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/y/youngta01w.html
Kristin Haynie,DET,2009,G,20,161,2,5.5,13,0.425,1,4.2,0.231,4.5,8.8,0.519,2.3,2.9,0.778,1.6,8.1,3.6,4.5,0,3.2,4.5,14.3,13.1,0.5,0.463,0.325,0.225,3.8,9.3,11.4,4.5,0,18.5,14.9,96,94,0.1,0.3,0.4,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/haynikr01w.html
Tasha Humphrey,WAS,2009,C,9,67,0,5.3,21.4,0.25,2.3,9.2,0.25,3.1,12.2,0.25,2.3,3.8,0.6,3.1,9.9,2.3,0.8,2.3,4.6,11.5,15.3,1.5,0.331,0.304,0.429,0.179,7,11.6,7.8,0.8,3.6,16.6,23.4,71,99,-0.2,0.1,-0.1,-0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/humphta01w.html
Crystal Kelly,SAC,2009,F,23,283,4,4.6,10.5,0.439,0,0.2,0,4.6,10.4,0.446,8.9,10.5,0.842,3.7,7.2,1.5,1.3,0.4,4.1,7.4,18.1,11.6,0.597,0.439,0.018,1,8.9,8.7,4.7,1.3,0.6,21.1,16.2,110,107,0.6,0,0.7,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/k/kellycr01w.html
Katie Mattera,SAS,2009,C,13,79,0,8.8,14.2,0.619,0,0,NA,8.8,14.2,0.619,2,6.1,0.333,4.7,14.9,0.7,0.7,5.4,8.8,8.8,19.6,11.3,0.581,0.619,0,0.429,11.1,17.3,2.5,0.7,7.9,34.2,22.5,77,98,-0.2,0.1,-0.1,-0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/m/matteka01w.html
Armintie Herrington,CHI,2009,G,22,323,0,4.4,11.5,0.386,0,0,NA,4.4,11.5,0.386,3.8,6.6,0.575,4.1,9.7,4.3,2,0.2,2.9,5.2,12.6,10.5,0.439,0.386,0,0.571,9.6,11.1,13.5,2,0.3,17,15,95,106,0.1,0.1,0.2,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/p/pricear01w.html
Nikki Teasley,ATL,2009,G,10,234,10,2.5,6.2,0.4,1.5,3.5,0.412,1,2.7,0.385,1.7,2.1,0.8,0.4,3.5,7.3,1.9,0.2,2.5,5.8,8.1,8.9,0.567,0.517,0.567,0.333,1,4.2,20.4,1.9,0.3,25.9,8.2,111,102,0.3,0.2,0.5,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/t/teaslni01w.html
Tamera Young,ATL,2009,F,11,72,0,6.1,18.3,0.333,0.7,3.4,0.2,5.4,14.9,0.364,7.4,11.5,0.647,4.1,9.5,3.4,4.1,0.7,6.1,6.1,20.3,12.2,0.435,0.352,0.185,0.63,9.5,11.1,10.5,4.1,1.1,20.7,25.1,85,95,-0.1,0.1,0,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/y/youngta01w.html
Kristin Haynie,SAC,2009,G,9,156,1,5.4,16.1,0.333,1.7,5,0.333,3.7,11.1,0.333,3.4,4,0.833,1,5,6,4.4,0.3,5,4.4,15.8,11,0.441,0.385,0.313,0.25,2.4,6,19.6,4.4,0.5,22,19.3,88,100,-0.1,0.2,0.1,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/haynikr01w.html
Tasha Humphrey,MIN,2009,C,19,340,4,8.2,20.7,0.399,2.8,8.8,0.322,5.4,11.8,0.456,3.1,3.9,0.808,1.3,8.8,1.2,1.8,0.9,2.1,8.1,22.5,13.5,0.502,0.467,0.428,0.188,3.1,10.6,4.5,1.8,1.4,8.6,21.3,101,105,0.5,0.2,0.6,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/h/humphta01w.html
Crystal Kelly,DET,2009,F,11,84,0,5,13.7,0.364,0,0,NA,5,13.7,0.364,9.3,11.2,0.833,3.7,8.7,2.5,2.5,0.6,6.8,10,19.3,9.2,0.518,0.364,0,0.818,8.6,10,7.8,2.5,1,26.9,21.6,90,99,0,0.1,0.1,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/k/kellycr01w.html
Katie Mattera,CHI,2009,C,2,23,0,6.9,9.2,0.75,0,0,NA,6.9,9.2,0.75,11.5,13.8,0.833,4.6,13.8,0,0,2.3,13.8,20.7,25.3,6.6,0.828,0.75,0,1.5,10.8,15.9,0,0,3.5,47.5,25.2,86,105,0,0,0,-0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/m/matteka01w.html
Armintie Herrington,ATL,2009,G,11,98,0,2.5,7,0.357,0,0,NA,2.5,7,0.357,3,5,0.6,3.5,8,2,1.5,1,4.5,6,8,4.2,0.435,0.357,0,0.714,8.1,9.3,5.6,1.5,1.5,32.8,11.6,77,101,-0.1,0.1,0,-0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/p/pricear01w.html
Nikki Teasley,DET,2009,G,11,222,7,3.5,9.2,0.385,2.4,7.1,0.333,1.2,2.1,0.556,0.5,0.5,1,0.2,3.3,5.6,1.4,0.9,3.8,3.8,9.9,7.3,0.527,0.513,0.769,0.051,0.5,3.8,17,1.4,1.6,28.6,11.2,92,103,0,0.2,0.2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/t/teaslni01w.html
Tamera Young,CHI,2009,F,10,129,6,6.6,18.9,0.348,0.8,3.3,0.25,5.7,15.6,0.368,6.6,7.4,0.889,4.1,12.3,2.9,2.9,1.6,4.5,7.4,20.5,14.4,0.464,0.37,0.174,0.391,9.6,14.2,9.7,2.9,2.5,16.9,23.1,93,100,0,0.1,0.2,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/y/youngta01w.html
Svetlana Abrosimova,CON,2008,F,6,107,0,5.4,17.6,0.306,1,5.9,0.167,4.4,11.7,0.375,4.9,5.9,0.833,1.5,9.8,5.9,3.9,0,5.4,6.3,16.6,10.6,0.412,0.333,0.333,0.333,3.2,10.5,18.6,3.9,0,21,21.7,82,91,-0.2,0.2,0.1,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/abrossv01w.html
Matee Ajavon,HOU,2008,G,34,604,2,8.2,24.6,0.332,1.1,5.8,0.194,7,18.8,0.375,6.3,7.9,0.791,2.9,5.2,5.1,2.6,0.5,4.7,7.4,23.8,12,0.423,0.355,0.237,0.322,6.8,6.1,19.1,2.6,0.9,14.3,27.6,90,102,0,0.4,0.4,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/ajavoma01w.html
Charel Allen,SAC,2008,G,6,49,0,7.4,17,0.438,2.1,6.4,0.333,5.3,10.6,0.5,0,0,NA,2.1,6.4,3.2,1.1,0,6.4,5.3,17,7,0.5,0.5,0.375,0,4.8,7.6,12.1,1.1,0,27.3,19.7,82,103,-0.1,0,0,-0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/allench01w.html
Jolene Anderson,CON,2008,G,24,367,7,5,17.9,0.278,2.3,9.8,0.232,2.7,8.1,0.333,1.6,2.1,0.733,1.6,8.2,3.7,1,0.1,2.3,2.4,13.8,7.4,0.366,0.341,0.548,0.119,3.4,8.9,11.6,1,0.2,10.8,17.9,83,99,-0.4,0.4,0.1,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/anderjo01w.html
Nicky Anosike,MIN,2008,F-C,34,920,34,5.5,12.5,0.438,0,0.1,0,5.5,12.4,0.44,6.4,9.2,0.699,4.3,12.8,2.5,4.1,2.4,2.3,6.9,17.4,19.5,0.525,0.438,0.004,0.735,9.6,14.7,8,4.1,3.7,12.3,16.2,110,93,2.4,1.9,4.3,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/anosini01w.html
La'Tangela Atkinson,SAC,2008,G-F,5,73,1,4.3,11.4,0.375,0,0.7,0,4.3,10.7,0.4,1.4,2.8,0.5,2.1,10,5.7,3.6,1.4,7.1,3.6,10,8,0.394,0.375,0.063,0.25,4.8,11.9,19.3,3.6,2.3,36,16.7,68,94,-0.2,0.1,-0.1,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/atkinla01w.html
Morenike Atunrase,SAS,2008,G-F,33,348,0,3.6,13.2,0.276,1.8,6.2,0.293,1.8,7,0.261,1.7,2.4,0.688,2.4,7.3,3.5,2.4,2,3.9,3.2,10.8,7.6,0.377,0.345,0.471,0.184,5.9,8.2,11.2,2.4,2.9,21.7,16.2,75,94,-0.7,0.7,0,-0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/atunrmo01w.html
Seimone Augustus,MIN,2008,G-F,31,1042,31,11.4,24.2,0.47,1,3.1,0.317,10.4,21.1,0.492,5.1,5.8,0.89,1.4,5.9,4.1,1.6,0.6,2.5,2.2,28.8,22.1,0.539,0.49,0.127,0.238,3.1,6.7,16.1,1.6,0.9,8.7,25.2,110,104,3.9,0.4,4.3,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/augusse01w.html
Sherill Baker,IND,2008,G,13,110,0,5.8,17.9,0.324,0,0.5,0,5.8,17.4,0.333,12.1,16.4,0.735,3.4,10.6,7.2,4.3,0.5,5.3,7.2,23.7,19.4,0.472,0.324,0.027,0.919,7.5,12.1,26.2,4.3,0.7,17.5,26.1,98,90,0.2,0.3,0.5,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/bakersh01w.html
Mistie Bass,HOU,2008,F,32,365,0,6.8,13.4,0.505,0,0.1,0,6.8,13.2,0.511,4,7.3,0.549,5.2,11.1,2.6,1.9,1.3,3.9,4.6,17.6,15.1,0.528,0.505,0.011,0.548,12.2,12.9,9.2,1.9,2.1,19,17.3,100,100,0.5,0.4,0.9,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/bassmi01w.html
Ashley Battle,NYL,2008,F,34,336,0,5.9,15.6,0.378,1.7,4.8,0.367,4.1,10.8,0.382,5.7,7.9,0.72,2.9,8.4,3.8,2.4,0.2,4.4,4.1,19.2,13.8,0.504,0.434,0.306,0.51,6.4,9.5,13,2.4,0.2,18.9,20.2,96,99,0.3,0.4,0.7,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/battlas01w.html
Alana Beard,WAS,2008,G-F,33,1092,33,9,22.8,0.395,2.5,6.9,0.354,6.6,15.9,0.412,5.2,7,0.733,0.2,5.7,5.6,2.7,0.9,5.1,5.4,25.6,16.3,0.494,0.448,0.304,0.308,0.4,6.6,22.5,2.7,1.5,16.5,26.3,96,99,1.1,1.2,2.3,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/beardal01w.html
Kimberly Beck,SEA,2008,G,17,93,0,2.3,5.2,0.444,2.3,3.5,0.667,0,1.7,0,2.9,3.5,0.833,1.2,6.9,3.5,2.3,1.2,2.3,4,9.8,12.1,0.73,0.667,0.667,0.667,2.7,7.8,10.4,2.3,1.8,25.6,7.7,122,95,0.2,0.2,0.4,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/beckki01w.html
Val Berezhynska,SAS,2008,C,2,6,0,0,17.6,0,0,8.8,0,0,8.8,0,0,0,NA,0,0,0,0,0,0,17.6,0,-20,0,0,0.5,0,0,0,0,0,0,0,15.7,0,104,-0.1,0,-0.1,-0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/berezva01w.html
Tully Bevilaqua,IND,2008,G,30,876,30,3.9,9.6,0.405,1.8,5.4,0.337,2.1,4.2,0.493,1,1.7,0.607,0.7,4.1,3.9,3.6,0.2,2.1,4.4,10.6,10.5,0.514,0.5,0.563,0.177,1.6,4.7,13.3,3.6,0.4,17,10.7,101,95,0.8,1.6,2.3,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/beviltu01w.html
Sue Bird,SEA,2008,G,33,1111,33,8.3,18.8,0.441,2.3,6.6,0.343,6,12.2,0.494,3.6,4.1,0.871,0.7,4,8.1,1.9,0.1,4.2,2.9,22.4,17.8,0.544,0.501,0.351,0.218,1.6,4.6,30,1.9,0.2,17.1,21.3,106,99,2.9,1.2,4.2,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/birdsu01w.html
Nikki Blue,WAS,2008,G,26,537,22,3.2,10,0.324,1.4,3.1,0.438,1.9,6.9,0.271,1.9,2.5,0.76,1.5,4,7.2,1.9,0.2,4.1,5.8,9.7,7.1,0.438,0.392,0.314,0.245,3.3,4.7,23.2,1.9,0.3,27.1,12.9,88,104,-0.2,0.2,0.1,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/blueni01w.html
Shannon Bobbitt,LAS,2008,G,26,552,17,3.3,12,0.276,1.9,6.7,0.282,1.4,5.3,0.268,1.5,2.1,0.727,1.5,6,8.5,2.4,0.1,5.9,3.8,10,6.7,0.388,0.354,0.559,0.173,3.5,6.7,26.4,2.4,0.1,31.6,16,77,97,-1,0.8,-0.2,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/bobbish01w.html
LaToya Bond,IND,2008,G,32,325,1,4.3,14.7,0.289,1.5,6.9,0.214,2.8,7.8,0.354,2.1,2.6,0.813,1.1,5.1,4.4,2.5,0.7,5.4,9.2,12.1,3.1,0.381,0.339,0.467,0.178,2.5,5.8,15.1,2.5,1,25.4,18.2,72,96,-0.9,0.5,-0.4,-0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/bondla01w.html
Kara Braxton,DET,2008,C-F,33,590,10,9.5,23,0.415,0,0.2,0,9.5,22.8,0.418,7.2,9.7,0.743,4.3,15,2.4,1.2,2.1,4.8,7.5,26.3,17.2,0.482,0.415,0.008,0.422,9.6,16.8,8.7,1.2,3.6,15,26.9,96,94,0.7,1.2,1.9,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/braxtka01w.html
Kiesha Brown,LAS,2008,G,32,530,17,5.1,14.3,0.356,2.3,6.6,0.343,2.8,7.8,0.367,3,3.3,0.912,0.8,5.8,6.5,1.9,0,3.8,4,15.5,11.4,0.491,0.435,0.459,0.233,1.8,6.5,21.3,1.9,0,19.5,16.7,98,97,0.5,0.7,1.2,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/brownki01w.html
Rebekkah Brunson,SAC,2008,F,30,779,30,9,18,0.5,0,0,NA,9,18,0.5,3.8,5.7,0.671,5.8,14.2,0.9,2.4,1.3,3.4,5.5,21.8,19.1,0.532,0.5,0,0.315,13.2,17,3.5,2.4,2.2,14.2,20.2,105,96,1.7,1.3,3,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/brunsre01w.html
Latasha Byears,HOU,2008,G-F,11,46,0,9.1,19.4,0.471,0,0,NA,9.1,19.4,0.471,2.3,3.4,0.667,5.7,13.7,1.1,3.4,0,1.1,18.3,20.6,14.2,0.491,0.471,0,0.176,13.5,15.9,4.4,3.4,0,5.2,18.6,110,95,0.1,0.1,0.2,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/byearla01w.html
Dominique Canty,CHI,2008,G,28,737,28,5.2,13.2,0.394,0.1,0.4,0.167,5.1,12.8,0.402,6.1,9.1,0.669,1.8,5.2,8.4,2.1,0.2,4,5.4,16.6,13.6,0.482,0.397,0.033,0.689,3.9,5.8,28,2.1,0.3,18.7,18.1,99,102,1,0.5,1.4,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cantydo01w.html
Jamie Carey,CON,2008,G,33,499,3,4.9,11.6,0.423,3.6,8.7,0.41,1.4,2.9,0.464,0.9,1,0.9,0.4,4.2,4.9,0.8,0.1,2.3,2.5,14.3,11.8,0.594,0.577,0.748,0.09,0.9,4.5,15.4,0.8,0.2,16,12.2,113,102,1.1,0.4,1.4,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/careyja01w.html
Essence Carson,NYL,2008,G,34,646,30,7.6,20.2,0.376,0.7,2.4,0.276,6.9,17.8,0.389,2.6,3.8,0.674,2.1,6.3,2.6,2.6,0.7,2.9,4,18.4,11.1,0.42,0.392,0.118,0.188,4.6,7.1,9.3,2.6,1,11.7,21.4,87,99,-0.4,0.7,0.3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/carsoes01w.html
Swin Cash*,SEA,2008,F,31,927,28,6.6,16.9,0.389,0.1,0.5,0.125,6.5,16.5,0.396,7,9.1,0.772,2.7,9.6,3.4,1.2,1.8,4,4.2,20.3,14.6,0.484,0.391,0.027,0.539,6.1,10.9,11.6,1.2,2.9,16,21.4,97,96,0.9,1.5,2.4,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iziane Castro Marques,ATL,2008,F-G,29,671,20,7.2,20.3,0.353,2.2,7,0.309,5,13.3,0.376,3.6,4.4,0.814,0.7,4.9,3.9,2,0.4,4.3,2.9,20.1,11.2,0.451,0.406,0.346,0.217,1.7,5.6,15.1,2,0.7,16.1,22.8,87,108,-0.4,-0.2,-0.6,-0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/castriz01w.html
Tamika Catchings*,IND,2008,F,25,694,17,7.7,19.8,0.391,2.9,6.7,0.432,4.8,13,0.371,7,8.8,0.8,3.7,12,6.4,3.8,0.8,4.7,5.7,25.4,23.1,0.538,0.465,0.341,0.446,8.1,13.7,24.7,3.8,1.3,16.5,24.2,107,90,2.2,1.8,4,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quianna Chaney,CHI,2008,G,28,241,0,5.2,18.6,0.277,2.7,11.2,0.24,2.5,7.4,0.333,2.2,2.7,0.833,0.9,6.3,5.4,3.4,0.7,5.2,4.3,15.3,8.1,0.385,0.349,0.602,0.145,2,7,17.8,3.4,1,20.7,21.4,76,97,-0.6,0.3,-0.2,-0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/chanequ01w.html
