player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Jordin Canada,LAS,2022,G,17,435,13,6.8,18.5,0.366,0.2,3.2,0.071,6.5,15.3,0.429,4.6,5.7,0.8,0.1,4.5,9.8,2.4,0.3,5.6,3.8,18.4,10.3,0.437,0.373,0.174,0.311,0.3,5.4,31.4,2.4,0.7,21.1,23.8,85,107,-0.7,0.2,-0.5,-0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/canadjo01w.html
Bridget Carleton,MIN,2022,F,23,425,2,4.3,10.8,0.4,2.3,6.6,0.345,2,4.2,0.486,1.1,1.3,0.818,1.1,6.8,3.2,1.3,0.6,1.4,4.3,12,9.1,0.527,0.506,0.611,0.122,2.5,7.8,9.6,1.3,1.1,11.2,11.2,107,108,0.5,0.2,0.6,0.061,17.7,0.389,0.189,0.078,0.056,0.067,0.611,0.486,0.471,0.429,0.6,0.5,0.345,0.941,1,0.291,0.438,3.9,10.4,5,4,17,1,6,10,61,1,7,/wnba/players/c/carlebr01w.html
DiJonai Carrington,CON,2022,G-F,22,385,2,6.4,16.5,0.387,1.6,4.9,0.324,4.8,11.6,0.414,4.5,6.7,0.68,3.3,8.1,2.9,2.7,0.1,4.1,5.6,18.9,10.7,0.486,0.435,0.298,0.403,8.2,9.7,8.8,2.7,0.2,17.5,20.3,95,100,0,0.6,0.6,0.066,10.1,0.702,0.395,0.242,0.056,0.008,0.298,0.414,0.51,0.367,0,0,0.324,0.528,0.917,0.162,0.167,5.9,-3.2,16,9,14,4,25,6,48,2,10,/wnba/players/c/carridi01w.html
Chennedy Carter,LAS,2022,G,17,254,2,11,24.2,0.455,0.2,1.4,0.143,10.8,22.8,0.474,3.9,5.7,0.69,0.6,5.3,6.7,1.8,1.6,5.5,5.7,26.2,13.7,0.49,0.459,0.057,0.236,1.4,6.4,24.9,1.8,3,17.1,28.8,89,107,-0.3,0.1,-0.1,-0.02,8.1,0.943,0.309,0.341,0.203,0.089,0.057,0.474,0.711,0.381,0.32,0.364,0.143,0.364,1,0.143,0,-7.1,-2.4,18,8,21,0,14,2,76,6,14,/wnba/players/c/cartech01w.html
Alysha Clark,WAS,2022,F,17,435,17,7.5,15.4,0.488,2.5,7.8,0.323,5,7.7,0.656,1.3,1.4,0.917,1.8,9.3,4.3,2,0.6,2.6,3.7,18.9,15.9,0.588,0.57,0.504,0.093,4,10.6,14.2,2,1.1,14.1,16.6,109,97,0.8,0.9,1.7,0.155,15.3,0.496,0.132,0.279,0.054,0.031,0.504,0.656,0.941,0.5,0.714,0.75,0.323,0.643,0.952,0.185,0.417,9.2,7.2,13,7,14,1,4,7,85,0,4,/wnba/players/c/clarkal01w.html
Natasha Cloud,WAS,2022,G,22,699,22,6,14.9,0.405,2.2,7.2,0.313,3.8,7.8,0.49,3.4,4.5,0.754,0.9,5.9,11.6,1.7,0.4,4.8,2.5,17.7,15.3,0.525,0.48,0.48,0.305,2,6.7,36.5,1.7,0.8,22,19.2,103,100,0.9,1.2,2.1,0.121,16.2,0.52,0.195,0.18,0.075,0.07,0.48,0.49,0.667,0.333,0.533,0.357,0.313,0.294,0.7,0.052,0.4,7.6,8.4,47,7,14,3,28,4,368,6,4,/wnba/players/c/cloudna01w.html
Nia Clouden,CON,2022,G,15,113,0,4.5,10.4,0.435,2.7,5,0.545,1.8,5.4,0.333,1.8,2.7,0.667,0,4.1,5.4,2.3,0.5,1.4,5,13.6,12,0.585,0.565,0.478,0.261,0,4.9,15.6,2.3,0.8,10.5,11.2,122,101,0.3,0.2,0.4,0.151,15.5,0.522,0.217,0.13,0.043,0.13,0.478,0.333,0.4,0.667,0,0,0.545,0.25,0.5,0.364,0.25,11.9,4.8,1,2,5,0,3,6,27,0,2,/wnba/players/c/cloudni01w.html
Alaina Coates,IND,2022,C,8,75,0,4.7,7.3,0.636,0,0,NA,4.7,7.3,0.636,9.3,10,0.933,4,10.7,1.3,1.3,2,3.3,12,18.7,16.1,0.795,0.636,0,1.364,8.6,12.3,4.3,1.3,3.4,22.1,13,134,109,0.3,0,0.3,0.173,3.5,1,0.455,0.545,0,0,0,0.636,0.6,0.667,NA,NA,NA,1,NA,NA,NA,-28.4,-16.7,1,0,11,3,5,NA,4,1,1,/wnba/players/c/coateal01w.html
Nia Coffey,ATL,2022,F,15,314,15,4.9,15,0.33,1,4,0.24,4,11,0.362,3.7,4.9,0.742,1,12.9,1.9,1.4,0.3,4.9,5.4,14.5,4.3,0.423,0.362,0.266,0.33,2.2,14.9,6.3,1.4,0.6,22.4,19.4,73,97,-1,0.6,-0.3,-0.042,14.7,0.734,0.138,0.16,0.149,0.287,0.266,0.362,0.385,0.2,0.357,0.444,0.24,0.72,1,0.16,0,-9.4,-11.3,9,4,19,9,14,5,28,1,11,/wnba/players/c/coffeni01w.html
Charli Collier,DAL,2022,F-C,13,53,0,6.7,16.3,0.412,0,1,0,6.7,15.4,0.438,7.7,9.6,0.8,2.9,6.7,0,0,0,5.8,11.5,21.1,3.4,0.514,0.412,0.059,0.588,6.3,7.7,0,0,0,21.9,22.9,87,111,-0.1,0,-0.1,-0.047,9.9,0.941,0.118,0.471,0.176,0.176,0.059,0.438,0.5,0.25,1,0.333,0,0.571,NA,0,NA,-42.4,-44.5,2,1,5,1,3,NA,0,0,2,/wnba/players/c/collich01w.html
Sydney Colson,LVA,2022,G,11,97,0,4,11.1,0.364,1.5,4.6,0.333,2.5,6.6,0.385,2.5,2.5,1,1,2,7.6,1,0,3,6.6,12.1,7.5,0.496,0.432,0.409,0.227,2.3,2.3,21.8,1,0,19.9,13.8,101,111,0.1,0,0.1,0.029,16.5,0.591,0.091,0.182,0.182,0.136,0.409,0.385,0.5,0,0.5,0.667,0.333,0.2,1,0.222,1,-15.7,-23.4,3,1,6,0,2,NA,38,1,2,/wnba/players/c/colsosy01w.html
