player,tm,season,pos,g,mp,gs,fga,x3pa,fta,trb,astpercent,stlpercent,blkpercent,distance,pred_class,prob1,prob2,prob3,prob4,prob5,prob6,prob7,player_season,uncertainty
George Hill,MIL,2022,SG,54,1253,17,-1.3708541102589726,-0.3609892865973696,-0.7619311992422027,-0.7473626645746189,-0.22300916500464923,0.12837656522017032,-0.8568583148033659,0.38870589108622083,3,2.6430829437310025e-17,0.20596584856136735,0.7121771553877019,0.027461024803949328,7.608884221264811e-12,0.03233725609909871,0.022058715140273744,George Hill_2022,0.2878228446122981
Jrue Holiday,MIL,2022,PG,67,2207,64,0.8203416757986796,0.17183834054833177,-0.12003833266759208,-0.5729721111890655,1.9724962307794134,1.498658758992988,-0.33301480356986707,0.008355209141362369,3,1.5340638295953892e-29,1.0028543480112162e-7,0.6465898607361559,3.644714106024114e-5,0.0014885499472777012,3.967162854109089e-19,0.3518850418900715,Jrue Holiday_2022,0.3534101392638441
Richaun Holmes,SAC,2022,C,45,1074,37,-0.7539154908835171,-1.7351236934468095,-0.07724547489595134,1.3204110398540856,-0.8567632998701519,-1.2419056285526477,0.97659397451388,-1.7032228596105,1,0.7995678231513812,5.649499127061753e-12,1.0597193088643327e-22,3.346587750218987e-4,8.317404933912037e-9,0.20009750975054172,7.847507822171281e-16,Richaun Holmes_2022,0.2004321768486188
Al Horford,BOS,2022,C,69,2005,69,-0.6049992724135798,0.059664103254499834,-0.7619311992422027,1.0463687416767875,0.22967235989928095,-0.5567645316662388,1.5659179246515662,0.36757529764483987,4,2.1048971415278114e-24,3.9109606181502404e-13,7.814623433076155e-16,0.9991928381616934,6.021094086121403e-6,8.011407438293886e-4,1.9860121395019083e-16,Al Horford_2022,8.07161838306647e-4
Talen Horton-Tucker,LAL,2022,SG,60,1511,19,0.033213092457581424,-0.16468437133316383,-0.07724547489595134,-0.6975367921787466,0.059916788060307244,0.6422323878849767,-0.07109304795311767,-0.16068953838968555,3,7.284769089426264e-17,0.08704960522746209,0.7977685577597553,0.00520937483196117,9.108665110631596e-5,0.05133898951261188,0.05854238601710354,Talen Horton-Tucker_2022,0.2022314422402447
Dwight Howard,LAL,2022,C,60,971,27,-1.3070328737718564,-1.5949058968295198,1.2921259737965514,2.167450870583917,-1.0604699860769204,0.2996618394417723,0.97659397451388,-1.91452879402431,1,0.9935156257682075,5.331483704485798e-12,2.3748090443917315e-34,2.465943393586751e-7,6.961411236009218e-11,0.006484127562507778,4.2019543019935315e-21,Dwight Howard_2022,0.006484374231792489
Kevin Huerter,ATL,2022,SG,74,2188,60,0.033213092457581424,0.7887966456644068,-1.275445492501891,-0.7971885369704913,-0.1324728600238633,-0.5567645316662388,-0.46397568137824174,0.93810132056212725,2,1.1686159235272176e-43,0.7680817244931253,0.15437436969919313,1.899664306865048e-4,7.431095621320049e-6,0.016815860175410615,0.060530648105963085,Kevin Huerter_2022,0.23191827550687472
De'Andre Hunter,ATL,2022,SF,53,1577,52,0.2034030564232237,-0.08055369336278997,0.4362688183637372,-0.8470144093663637,-0.9359825667283397,-0.728049805887841,-0.39849524247405443,0.07174698946550558,7,3.099897501555302e-18,0.010425094581687002,0.1450107335325719,2.2731719711318076e-5,1.6881767365384528e-4,0.16706151285443938,0.677311109637937,De'Andre Hunter_2022,0.32268889036206305
Bones Hyland,DEN,2022,PG,69,1310,4,0.9479841487729113,1.9666261372496414,0.22230452950553367,-0.47332036639732067,0.7728901897839975,-0.04290870900143208,-0.26753436466567976,1.2339296287414612,7,6.32989075950112e-88,0.002049492648223256,0.08561688865629816,4.0579500489040695e-4,0.0016563819808006672,1.7245246911725843e-9,0.9102714399852632,Bones Hyland_2022,0.08972856001473684
Andre Iguodala,GSW,2022,SF,31,603,0,-1.51977032872891,-0.10859725268624784,-1.1042740614153281,-0.19927806822002256,1.1689865240749366,1.156088210549784,1.1075548523222547,0.9592319140035085,4,9.228360484483511e-28,3.443892686560459e-12,3.410447211854895e-5,0.9999658954598329,3.067976034034713e-15,7.684688853925509e-14,6.45237269555286e-11,Andre Iguodala_2022,3.4104540167056996e-5
Joe Ingles,UTA,2022,SF,45,1122,15,-0.9241054548491601,0.9851015609286128,-1.3610312080451725,-0.7722756007725552,0.5239153510868358,-0.8993350801094433,-0.9223387537075531,1.635410904127701,3,1.0101266090696548e-54,0.002995188608484318,0.9714552099915291,0.022269116275917863,6.141392403290872e-12,4.3522277319705094e-7,0.003280049895154313,Joe Ingles_2022,0.028544790008470877
Brandon Ingram,NOP,2022,SF,55,1869,55,1.9265764415753581,-0.10859725268624784,1.8484331248278805,-0.09962632342827765,1.5198147058754827,-1.0706203543310455,-0.33301480356986707,0.21966114355517255,5,5.353633746687422e-18,2.1079164897224037e-23,1.0656944761572265e-16,7.406165337229431e-11,0.991336806538025,6.203149209235743e-14,0.00866319338785129,Brandon Ingram_2022,0.008663193461974972
Kyrie Irving,BRK,2022,PG,29,1091,29,2.224408878515233,1.1814064761928182,0.6502331072219407,-0.8221014731684276,1.225571714687928,0.4709471136633747,-0.26753436466567976,0.621142418941412,7,4.318197336543961e-55,2.93538944400774e-9,0.003923829309635705,1.3378966764356024e-9,0.002246394689732951,3.842386225873849e-10,0.9938297713431066,Kyrie Irving_2022,0.006170228656893428
