player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Camille Little,PHO,F,33,536,33,7,536,33,100,0.33,8,31,0.258,25,69,0.362,24,31,0.774,16,60,40,18,10,29,71,98,/wnba/players/l/littlca01w.html,2018
Raigyne Louis,LVA,G,2,21,2,0,21,2,5,0.4,0,1,0,2,4,0.5,2,3,0.667,1,4,1,1,0,4,2,6,/wnba/players/l/louisra01w.html,2018
Jewell Loyd,SEA,G,34,1010,34,34,1010,182,430,0.423,67,181,0.37,115,249,0.462,97,114,0.851,42,155,126,43,5,65,61,528,/wnba/players/l/loydje01w.html,2018
Sancho Lyttle,PHO,F,18,419,18,18,419,61,113,0.54,0,1,0,61,112,0.545,21,24,0.875,25,96,26,16,7,17,41,143,/wnba/players/l/lyttlsa01w.html,2018
Stephanie Mavunga,IND,F,25,194,25,0,194,21,44,0.477,0,1,0,21,43,0.488,12,15,0.8,25,56,4,8,6,11,35,54,/wnba/players/m/mavunst01w.html,2018
Kayla McBride,LVA,G,31,1000,31,31,1000,197,439,0.449,48,122,0.393,149,317,0.47,121,132,0.917,25,121,109,33,4,63,33,563,/wnba/players/m/mcbrika01w.html,2018
Erica McCall,IND,F,34,418,34,2,418,42,109,0.385,1,8,0.125,41,101,0.406,13,19,0.684,47,93,13,12,16,12,55,98,/wnba/players/m/mccaler01w.html,2018
Angel McCoughtry,ATL,F-G,29,799,29,28,799,170,405,0.42,21,76,0.276,149,329,0.453,117,140,0.836,46,174,86,38,16,76,74,478,/wnba/players/m/mccouan01w.html,2018
Kelsey Mitchell,IND,G,34,829,34,17,829,142,410,0.346,70,209,0.335,72,201,0.358,78,97,0.804,9,60,92,23,4,66,82,432,/wnba/players/m/mitchke01w.html,2018
Leilani Mitchell,PHO,G,31,461,31,0,461,46,131,0.351,31,91,0.341,15,40,0.375,12,14,0.857,10,43,70,14,6,36,40,135,/wnba/players/m/mitchle01w.html,2018
Tiffany Mitchell,IND,G,34,871,34,20,871,108,291,0.371,16,60,0.267,92,231,0.398,76,91,0.835,25,105,78,30,8,49,59,308,/wnba/players/m/mitchti01w.html,2018
Endy Miyem,MIN,F,20,101,20,1,101,12,37,0.324,2,10,0.2,10,27,0.37,1,1,1,5,12,6,2,2,3,13,27,/wnba/players/m/miyemen01w.html,2018
Alex Montgomery,CHI,G-F,19,122,19,0,122,5,19,0.263,1,3,0.333,4,16,0.25,4,4,1,6,18,9,2,1,5,14,15,/wnba/players/m/montgal01w.html,2018
Renee Montgomery,ATL,G,34,935,34,34,935,107,275,0.389,78,210,0.371,29,65,0.446,59,67,0.881,4,58,125,45,2,54,57,351,/wnba/players/m/montgre01w.html,2018
Maya Moore,MIN,F,34,1081,34,34,1081,223,527,0.423,66,181,0.365,157,346,0.454,100,120,0.833,47,174,88,57,12,60,62,612,/wnba/players/m/moorema01w.html,2018
