player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Seimone Augustus,MIN,G-F,12,156,12,156,0.313,15.5,0.813,0.094,0.141,0.188,0.391,0.188,0.346,0.5,0.333,0.333,0.32,0.167,0.556,1,0,NA,/wnba/players/a/augusse01w.html,2019
Kenisha Bell,MIN,G,3,11,3,11,0,23.9,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,/wnba/players/b/bellke01w.html,2019
Lexie Brown,MIN,G,33,605,33,605,0.402,19.6,0.354,0.115,0.086,0.062,0.091,0.646,0.432,0.708,0.222,0.154,0.474,0.385,0.531,0.962,0.052,0.286,/wnba/players/b/brownle02w.html,2019
Karima Christmas-Kelly,MIN,F-G,6,72,6,72,0.278,16.7,0.389,0.278,0.056,0,0.056,0.611,0.286,0.4,0,NA,0,0.273,0,0.667,0.273,0.333,/wnba/players/c/chriska02w.html,2019
Napheesa Collier,MIN,F,34,1131,34,1131,0.49,11.3,0.757,0.331,0.194,0.123,0.109,0.243,0.531,0.681,0.515,0.31,0.351,0.361,0.715,0.967,0.157,0.385,/wnba/players/c/collina01w.html,2019
Damiris Dantas,MIN,F,26,667,26,667,0.432,16.7,0.481,0.18,0.092,0.102,0.107,0.519,0.475,0.595,0.316,0.476,0.409,0.393,0.638,0.976,0.075,0.375,/wnba/players/d/dantada01w.html,2019
Temi Fagbenle,MIN,C,18,271,18,271,0.519,10.2,0.926,0.37,0.111,0.16,0.284,0.074,0.547,0.7,0.556,0.462,0.391,0.167,0.683,0,0.167,0,/wnba/players/f/fagbete01w.html,2019
Sylvia Fowles,MIN,C,34,1003,34,1003,0.588,5,1,0.567,0.242,0.128,0.063,0,0.588,0.7,0.407,0.442,0.571,NA,0.741,NA,NA,NA,/wnba/players/f/fowlesy01w.html,2019
Danielle Robinson,MIN,G,34,919,34,919,0.437,10.9,0.87,0.332,0.19,0.136,0.212,0.13,0.469,0.562,0.317,0.488,0.448,0.22,0.496,1,0.293,0.25,/wnba/players/r/robinda01w.html,2019
Jessica Shepard,MIN,F,6,112,6,112,0.379,13,0.759,0.345,0.034,0.138,0.241,0.241,0.455,0.6,0,0.5,0.286,0.143,0.9,1,0.143,0,/wnba/players/s/shepaje01w.html,2019
Odyssey Sims,MIN,G,34,1083,34,1083,0.415,12,0.796,0.229,0.235,0.191,0.141,0.204,0.453,0.596,0.421,0.448,0.281,0.269,0.396,0.88,0.151,0.286,/wnba/players/s/simsod01w.html,2019
Stephanie Talbot,MIN,F,33,561,33,561,0.37,19.2,0.383,0.117,0.091,0.104,0.071,0.617,0.441,0.444,0.5,0.438,0.364,0.326,0.5,1,0.126,0.5,/wnba/players/t/talbost01w.html,2019
Shao Ting,MIN,F,5,27,5,27,0.2,6.2,1,0.1,0.8,0,0.1,0,0.2,0,0.25,NA,0,NA,1,NA,NA,NA,/wnba/players/t/tingsh01w.html,2019
Rebecca Allen,NYL,G,24,412,24,412,0.417,17.8,0.564,0.122,0.077,0.09,0.276,0.436,0.409,0.684,0.5,0.357,0.279,0.426,0.833,1,0.176,0.5,/wnba/players/a/allenre01w.html,2019
Tiffany Bias,NYL,G,12,105,12,105,0.25,20.6,0.321,0.071,0.071,0.071,0.107,0.679,0.444,1,0.5,0,0.333,0.158,0.5,0.667,0.263,0.2,/wnba/players/b/biasti01w.html,2019
Brittany Boyd,NYL,G,33,649,33,649,0.394,8.9,0.872,0.411,0.239,0.122,0.1,0.128,0.408,0.459,0.395,0.273,0.389,0.304,0.344,0.286,0.261,0.167,/wnba/players/b/boydbr01w.html,2019
Tina Charles,NYL,C,33,1028,33,1028,0.389,11,0.896,0.177,0.32,0.233,0.166,0.104,0.412,0.59,0.376,0.386,0.33,0.186,0.67,0.909,0.034,0.5,/wnba/players/c/charlti01w.html,2019
AD Durr,NYL,G,18,480,18,480,0.467,14.7,0.664,0.164,0.132,0.224,0.145,0.336,0.554,0.84,0.55,0.529,0.273,0.294,0.5,1,0.314,0.313,/wnba/players/d/durras01w.html,2019
Reshanda Gray,NYL,F,34,519,34,519,0.473,5.4,0.987,0.613,0.2,0.053,0.12,0.013,0.473,0.576,0.267,0.125,0.444,0.5,0.614,1,0,NA,/wnba/players/g/grayre01w.html,2019
Bria Hartley,NYL,G,24,545,24,545,0.376,14.1,0.652,0.248,0.152,0.105,0.148,0.348,0.401,0.538,0.219,0.273,0.452,0.329,0.527,0.75,0.178,0.385,/wnba/players/h/hartlbr01w.html,2019
Marine Johannes,NYL,G,19,345,19,345,0.436,18.3,0.4,0.118,0.109,0.082,0.091,0.6,0.523,0.769,0.417,0.333,0.5,0.379,0.522,0.8,0.197,0.231,/wnba/players/j/johanma01w.html,2019
Kia Nurse,NYL,G,34,1001,34,1001,0.393,17,0.49,0.166,0.094,0.111,0.119,0.51,0.435,0.617,0.294,0.4,0.326,0.353,0.675,0.846,0.174,0.344,/wnba/players/n/nurseki01w.html,2019
Nayo Raincock-Ekunwe,NYL,F,28,367,28,367,0.544,4.3,0.962,0.658,0.241,0.038,0.025,0.038,0.553,0.635,0.368,0.333,0.5,0.333,0.69,1,0,NA,/wnba/players/r/raincna01w.html,2019
Avery Warley-Talbert,NYL,C,3,35,3,35,0.2,1.5,1,1,0,0,0,0,0.2,0.2,NA,NA,NA,NA,0,NA,NA,NA,/wnba/players/w/warleav01w.html,2019
Tanisha Wright,NYL,G,31,613,31,613,0.415,13.6,0.708,0.292,0.131,0.069,0.215,0.292,0.435,0.579,0.176,0.333,0.429,0.368,0.525,0.857,0.132,0.4,/wnba/players/w/wrighta01w.html,2019
Han Xu,NYL,C,18,143,18,143,0.414,13.4,0.828,0.155,0.155,0.293,0.224,0.172,0.396,0.778,0.333,0.235,0.385,0.5,0.895,1,0.1,0,/wnba/players/x/xuha01w.html,2019
Amanda Zahui B.,NYL,C,24,558,24,558,0.468,14.1,0.601,0.225,0.237,0.069,0.069,0.399,0.567,0.718,0.415,0.583,0.583,0.319,0.847,1,0.029,1,/wnba/players/z/zahuiam01w.html,2019
DeWanna Bonner,PHO,F-G,34,1120,34,1120,0.377,15.4,0.621,0.196,0.163,0.133,0.129,0.379,0.441,0.646,0.366,0.343,0.323,0.272,0.464,0.75,0.157,0.267,/wnba/players/b/bonnede01w.html,2019
Essence Carson,PHO,G,23,425,23,425,0.352,15.6,0.68,0.18,0.117,0.117,0.266,0.32,0.356,0.478,0.333,0.467,0.235,0.341,0.29,0.929,0.195,0.375,/wnba/players/c/carsoes01w.html,2019
Arica Carter,PHO,G,6,24,6,24,0.2,20.3,0.2,0,0.2,0,0,0.8,1,NA,1,NA,NA,0,1,NA,0.25,0,/wnba/players/c/cartear01w.html,2019
Sophie Cunningham,PHO,G,32,389,32,389,0.354,17.3,0.418,0.177,0.127,0.038,0.076,0.582,0.424,0.643,0.3,0.667,0,0.304,0.643,0.857,0.239,0.182,/wnba/players/c/cunniso01w.html,2019
Brittney Griner,PHO,C,31,1018,31,1018,0.564,6.7,0.994,0.301,0.441,0.188,0.065,0.006,0.565,0.694,0.512,0.522,0.452,0.333,0.818,1,0.333,0,/wnba/players/g/grinebr01w.html,2019
Briann January,PHO,G,32,852,32,852,0.39,17.9,0.549,0.115,0.071,0.126,0.236,0.451,0.4,0.571,0.231,0.391,0.372,0.378,0.225,0.903,0.171,0.357,/wnba/players/j/januabr01w.html,2019
Camille Little,PHO,F,29,425,29,425,0.435,11.7,0.772,0.174,0.38,0.12,0.098,0.228,0.465,0.688,0.457,0.273,0.333,0.333,0.818,1,0.095,0.5,/wnba/players/l/littlca01w.html,2019
Sancho Lyttle,PHO,F,20,250,20,250,0.419,14.5,0.935,0.129,0.194,0.097,0.516,0.065,0.431,0.75,0.5,0.167,0.375,0.25,0.84,1,0.25,0,/wnba/players/l/lyttlsa01w.html,2019
Leilani Mitchell,PHO,G,32,971,32,971,0.441,18.8,0.434,0.122,0.095,0.053,0.164,0.566,0.455,0.595,0.241,0.438,0.48,0.43,0.3,0.703,0.128,0.409,/wnba/players/m/mitchle01w.html,2019
Alanna Smith,PHO,F,18,134,18,134,0.195,13.6,0.561,0.171,0.341,0.024,0.024,0.439,0.261,0.429,0.071,1,1,0.111,0.333,1,0.056,1,/wnba/players/s/smithal01w.html,2019
Diana Taurasi,PHO,G,6,129,6,129,0.103,19.5,0.385,0.077,0.077,0.128,0.103,0.615,0.2,0.333,0.333,0,0.25,0.042,0,1,0.042,0,/wnba/players/t/tauradi01w.html,2019
Brianna Turner,PHO,F,29,462,29,462,0.538,3,1,0.681,0.286,0.022,0.011,0,0.538,0.645,0.308,0.5,0,NA,0.837,NA,NA,NA,/wnba/players/t/turnebr01w.html,2019
Yvonne Turner,PHO,G,29,595,29,595,0.343,15.3,0.541,0.192,0.198,0.023,0.128,0.459,0.355,0.545,0.353,0.25,0.091,0.329,0.273,0.846,0.304,0.417,/wnba/players/t/turneyv01w.html,2019
Liz Cambage,LVA,C,32,807,32,807,0.504,7.2,0.969,0.262,0.473,0.121,0.093,0.031,0.515,0.725,0.467,0.362,0.306,0.167,0.691,0.5,0.167,0,/wnba/players/c/cambael01w.html,2019
Sydney Colson,LVA,G,33,379,33,379,0.44,13.1,0.762,0.143,0.286,0.131,0.179,0.238,0.438,0.75,0.333,0.364,0.467,0.45,0.286,0.889,0.3,0.5,/wnba/players/c/colsosy01w.html,2019
Dearica Hamby,LVA,F,34,842,34,842,0.488,8.3,0.817,0.367,0.374,0.014,0.045,0.183,0.525,0.604,0.481,0.25,0.385,0.321,0.742,0.941,0.057,0.667,/wnba/players/h/hambyde01w.html,2019
Kayla McBride,LVA,G,34,990,34,990,0.425,17.3,0.595,0.087,0.162,0.092,0.24,0.405,0.423,0.774,0.483,0.394,0.279,0.428,0.633,0.855,0.124,0.556,/wnba/players/m/mcbrika01w.html,2019
Jaime Nared,LVA,G-F,1,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/n/naredja01w.html,2019
JiSu Park,LVA,C,25,163,25,163,0.216,12.8,0.973,0.162,0.135,0.189,0.459,0.027,0.222,0.5,0.4,0.286,0.059,0,0.875,NA,0,NA,/wnba/players/p/parkji01w.html,2019
Kelsey Plum,LVA,G,34,868,34,868,0.365,16.7,0.573,0.113,0.137,0.143,0.15,0.427,0.369,0.576,0.4,0.31,0.25,0.36,0.355,0.756,0.112,0.357,/wnba/players/p/plumke01w.html,2019
Epiphanny Prince,LVA,G,3,28,3,28,0.5,22.9,0.3,0,0.1,0,0.2,0.7,0.667,NA,0,NA,1,0.429,0.5,1,0,NA,/wnba/players/p/princep01w.html,2019
Sugar Rodgers,LVA,G,33,382,33,382,0.36,21.9,0.243,0.054,0.072,0.018,0.09,0.757,0.37,0.667,0.25,0,0.4,0.357,0.7,0.933,0.107,0.111,/wnba/players/r/rodgesu01w.html,2019
Carolyn Swords,LVA,C,29,257,29,257,0.438,7.4,1,0.26,0.384,0.164,0.11,0,0.438,0.579,0.429,0.333,0.375,NA,0.719,NA,NA,NA,/wnba/players/s/swordca01w.html,2019
A'ja Wilson,LVA,F,26,740,26,740,0.479,8,0.997,0.233,0.385,0.252,0.094,0.003,0.48,0.662,0.433,0.434,0.387,0,0.753,NA,0,NA,/wnba/players/w/wilsoa01w.html,2019
Jackie Young,LVA,G,34,767,34,767,0.322,10.4,0.814,0.208,0.381,0.14,0.064,0.186,0.323,0.408,0.256,0.303,0.533,0.318,0.435,0.929,0.023,0,/wnba/players/y/youngja01w.html,2019
Tamera Young,LVA,F,34,628,34,628,0.38,11.1,0.911,0.201,0.218,0.24,0.212,0.089,0.387,0.472,0.436,0.395,0.237,0.313,0.492,1,0.188,0.333,/wnba/players/y/youngta01w.html,2019
Jordin Canada,SEA,G,30,865,30,865,0.388,11.4,0.851,0.263,0.246,0.142,0.201,0.149,0.423,0.658,0.324,0.366,0.276,0.186,0.24,1,0.023,0,/wnba/players/c/canadjo01w.html,2019
Alysha Clark,SEA,F,31,881,31,881,0.481,15.4,0.553,0.165,0.215,0.08,0.093,0.447,0.481,0.692,0.353,0.316,0.545,0.481,0.54,0.902,0.16,0.588,/wnba/players/c/clarkal01w.html,2019
Blake Dietrick,SEA,G,17,106,17,106,0.1,21.4,0.4,0,0,0.1,0.3,0.6,0.25,NA,NA,0,0.333,0,0,NA,0.333,0,/wnba/players/d/dietrbl01w.html,2019
Anriel Howard,SEA,F,3,20,3,20,0.4,9.9,0.6,0.6,0,0,0,0.4,0.333,0.333,NA,NA,NA,0.5,1,1,0,NA,/wnba/players/h/howaran01w.html,2019
Natasha Howard,SEA,F,34,1066,34,1066,0.439,10.4,0.799,0.265,0.323,0.132,0.079,0.201,0.472,0.664,0.401,0.324,0.366,0.308,0.579,0.906,0.096,0.5,/wnba/players/h/howarna01w.html,2019
Crystal Langhorne,SEA,F-C,34,577,34,577,0.409,12.6,0.667,0.287,0.246,0.035,0.099,0.333,0.456,0.592,0.286,0.5,0.471,0.316,0.769,1,0.07,0.25,/wnba/players/l/langhcr01w.html,2019
Jewell Loyd,SEA,G,27,686,27,686,0.391,16.4,0.662,0.114,0.154,0.13,0.264,0.338,0.419,0.559,0.283,0.436,0.43,0.337,0.53,0.912,0.208,0.381,/wnba/players/l/loydje01w.html,2019
Kaleena Mosqueda-Lewis,SEA,F,31,435,31,435,0.399,19.2,0.497,0.055,0.098,0.098,0.245,0.503,0.457,0.667,0.375,0.5,0.425,0.341,0.676,0.929,0.171,0.357,/wnba/players/m/mosquka01w.html,2019
Courtney Paris,SEA,C,30,190,30,190,0.4,4.7,1,0.467,0.467,0,0.067,0,0.4,0.714,0.143,NA,0,NA,0.667,NA,NA,NA,/wnba/players/p/parisco01w.html,2019
Mercedes Russell,SEA,C,34,870,34,870,0.52,5.3,1,0.456,0.407,0.088,0.054,0,0.52,0.634,0.47,0.222,0.364,NA,0.736,NA,NA,NA,/wnba/players/r/russeme01w.html,2019
Sami Whitcomb,SEA,G,33,674,33,674,0.366,22.1,0.179,0.067,0.036,0.031,0.04,0.821,0.475,0.467,0.375,0.571,0.556,0.342,0.526,0.762,0.196,0.278,/wnba/players/w/whitcsa01w.html,2019
Shavonte Zellous,SEA,G,31,432,31,432,0.379,16.4,0.724,0.172,0.103,0.112,0.345,0.276,0.452,0.55,0.333,0.308,0.475,0.188,0.395,0.833,0.125,0.25,/wnba/players/z/zellosh01w.html,2019
Imani McGee-Stafford,DAL,C,29,346,29,346,0.468,9.5,0.963,0.202,0.385,0.183,0.193,0.037,0.476,0.682,0.5,0.3,0.381,0.25,0.66,1,0,NA,/wnba/players/b/boyetim01w.html,2019
Kaela Davis,DAL,F,33,634,33,634,0.329,12,0.779,0.225,0.268,0.139,0.147,0.221,0.333,0.442,0.161,0.531,0.294,0.314,0.283,0.938,0.137,0.286,/wnba/players/d/daviska01w.html,2019
Allisha Gray,DAL,G,34,1035,34,1035,0.457,13.1,0.664,0.195,0.297,0.113,0.059,0.336,0.494,0.7,0.461,0.448,0.067,0.384,0.643,0.97,0.14,0.5,/wnba/players/g/grayal01w.html,2019
Megan Gustafson,DAL,C,25,238,25,238,0.491,8.4,0.836,0.273,0.509,0.055,0,0.164,0.565,0.667,0.5,0.667,NA,0.111,0.692,1,0,NA,/wnba/players/g/gustame01w.html,2019
Isabelle Harrison,DAL,F,31,794,31,794,0.456,9,0.975,0.261,0.332,0.22,0.162,0.025,0.468,0.587,0.413,0.491,0.359,0,0.718,NA,0,NA,/wnba/players/h/harriis01w.html,2019
Tayler Hill,DAL,G,4,49,4,49,0.308,16.2,0.538,0.077,0.231,0.154,0.077,0.462,0.429,1,0.333,0,1,0.167,0.667,1,0.167,0,/wnba/players/h/hillta01w.html,2019
Glory Johnson,DAL,F,28,676,28,676,0.364,17.2,0.519,0.107,0.14,0.136,0.136,0.481,0.387,0.609,0.3,0.345,0.345,0.34,0.581,0.943,0.029,0.667,/wnba/players/j/johnsgl01w.html,2019
Brooke McCarty-Williams,DAL,G,34,447,34,447,0.289,16.7,0.444,0.133,0.222,0.044,0.044,0.556,0.2,0.333,0.2,0,0,0.36,0.375,1,0.12,0.333,/wnba/players/m/mccarbr01w.html,2019
Arike Ogunbowale,DAL,G,33,1059,33,1059,0.388,14.6,0.706,0.12,0.227,0.183,0.176,0.294,0.404,0.591,0.4,0.337,0.351,0.352,0.223,0.737,0.068,0.273,/wnba/players/o/ogunbar01w.html,2019
Azura Stevens,DAL,F-C,9,144,9,144,0.358,10.5,0.83,0.113,0.453,0.132,0.132,0.17,0.409,0.5,0.333,0.714,0.286,0.111,0.5,1,0.111,0,/wnba/players/s/steveaz01w.html,2019
Kayla Thornton,DAL,F,27,822,27,822,0.343,14.8,0.644,0.152,0.218,0.142,0.131,0.356,0.382,0.568,0.349,0.366,0.237,0.272,0.437,0.821,0.126,0.231,/wnba/players/t/thornka01w.html,2019
Ariel Atkins,WAS,G,33,804,33,804,0.416,17.4,0.517,0.084,0.142,0.135,0.142,0.483,0.471,0.68,0.476,0.375,0.405,0.357,0.542,0.922,0.231,0.576,/wnba/players/a/atkinar01w.html,2019
Natasha Cloud,WAS,G,34,1093,34,1093,0.394,16.7,0.505,0.179,0.151,0.068,0.1,0.495,0.461,0.66,0.405,0.263,0.357,0.326,0.323,0.867,0.094,0.231,/wnba/players/c/cloudna01w.html,2019
Elena Delle Donne,WAS,F-G,31,901,31,901,0.515,14.1,0.717,0.138,0.215,0.213,0.126,0.283,0.549,0.712,0.446,0.549,0.537,0.43,0.548,0.827,0.066,0.375,/wnba/players/d/delleel01w.html,2019
Tianna Hawkins,WAS,F,31,477,31,477,0.514,13.6,0.586,0.218,0.25,0.055,0.041,0.414,0.62,0.75,0.491,0.75,0.444,0.363,0.713,0.939,0.176,0.375,/wnba/players/h/hawkiti01w.html,2019
Myisha Hines-Allen,WAS,F,27,211,27,211,0.362,10.3,0.768,0.246,0.391,0.101,0.029,0.232,0.358,0.471,0.333,0.143,0.5,0.375,0.474,0.833,0.125,0.5,/wnba/players/h/hinesmy01w.html,2019
Emma Meesseman,WAS,F,23,543,23,543,0.552,11.9,0.796,0.167,0.326,0.172,0.122,0.204,0.585,0.622,0.569,0.553,0.593,0.422,0.748,0.947,0.022,0,/wnba/players/m/meessem01w.html,2019
Kim Mestdagh,WAS,G,15,71,15,71,0.389,22.2,0.167,0.111,0,0,0.056,0.833,0.333,0.5,NA,NA,0,0.4,1,1,0.333,0.4,/wnba/players/m/mestdki01w.html,2019
Shey Peddy,WAS,G,15,71,15,71,0.615,17.1,0.385,0.231,0.154,0,0,0.615,0.8,0.667,1,NA,NA,0.5,0.75,0.75,0.125,0,/wnba/players/p/peddysh01w.html,2019
Aerial Powers,WAS,F-G,30,593,30,593,0.434,16.2,0.534,0.141,0.197,0.068,0.116,0.466,0.496,0.743,0.531,0.118,0.31,0.362,0.379,0.905,0.207,0.458,/wnba/players/p/powerae01w.html,2019
LaToya Sanders,WAS,F-C,34,804,34,804,0.506,11.9,1,0.14,0.209,0.203,0.384,0,0.506,0.792,0.444,0.429,0.455,NA,0.805,NA,NA,NA,/wnba/players/p/pringla01w.html,2019
Kristi Toliver,WAS,G,23,678,23,678,0.494,16.9,0.574,0.123,0.14,0.123,0.162,0.426,0.593,0.828,0.576,0.414,0.526,0.36,0.338,0.639,0.15,0.667,/wnba/players/t/tolivkr01w.html,2019
Shatori Walker-Kimbrough,WAS,G,34,580,34,580,0.432,15.5,0.597,0.176,0.199,0.08,0.136,0.403,0.514,0.71,0.486,0.429,0.375,0.31,0.519,0.727,0.254,0.278,/wnba/players/w/walkesh01w.html,2019
Kristine Anigwe,TOT,F-C,27,250,27,250,0.324,6.7,1,0.25,0.544,0.118,0.088,0,0.324,0.353,0.378,0.125,0.167,NA,0.773,NA,NA,NA,/wnba/players/a/anigwkr01w.html,2019
Bridget Carleton,TOT,F,8,40,8,40,0.125,18.2,0.5,0,0.125,0.125,0.25,0.5,0,NA,0,0,0,0.25,NA,1,0.75,0.333,/wnba/players/c/carlebr01w.html,2019
Alaina Coates,TOT,C,23,167,23,167,0.533,3.8,1,0.556,0.378,0.067,0,0,0.533,0.68,0.353,0.333,NA,NA,0.708,NA,NA,NA,/wnba/players/c/coateal01w.html,2019
Theresa Plaisance,TOT,F,31,442,31,442,0.37,17.1,0.5,0.096,0.171,0.178,0.055,0.5,0.397,0.429,0.48,0.269,0.5,0.342,0.655,0.92,0,NA,/wnba/players/p/plaisth01w.html,2019
Karlie Samuelson,TOT,F,7,84,7,84,0.214,22.4,0.143,0,0.071,0.071,0,0.857,0,NA,0,0,NA,0.25,NA,1,0.25,0.333,/wnba/players/s/samueka01w.html,2019
Asia Taylor,TOT,F,12,96,12,96,0.357,9.8,0.929,0.25,0.357,0.071,0.25,0.071,0.385,0.714,0.2,0,0.429,0,0.7,NA,0,NA,/wnba/players/t/tayloas01w.html,2019
Kristine Anigwe,CON,F-C,17,121,17,121,0.314,7.9,1,0.171,0.543,0.143,0.143,0,0.314,0.5,0.316,0.2,0.2,NA,0.818,NA,NA,NA,/wnba/players/a/anigwkr01w.html,2019
Bridget Carleton,CON,F,4,29,4,29,0,16.5,0.667,0,0.167,0.167,0.333,0.333,0,NA,0,0,0,0,NA,NA,1,0,/wnba/players/c/carlebr01w.html,2019
Karlie Samuelson,LAS,F,3,36,3,36,0.143,22,0.143,0,0,0.143,0,0.857,0,NA,NA,0,NA,0.167,NA,1,0.167,0,/wnba/players/s/samueka01w.html,2019
Alaina Coates,MIN,C,14,92,14,92,0.484,4.4,1,0.484,0.419,0.097,0,0,0.484,0.667,0.308,0.333,NA,NA,0.733,NA,NA,NA,/wnba/players/c/coateal01w.html,2019
Asia Taylor,MIN,F,8,65,8,65,0.455,9.3,0.955,0.273,0.364,0.045,0.273,0.045,0.476,0.833,0.25,0,0.5,0,0.7,NA,0,NA,/wnba/players/t/tayloas01w.html,2019
Theresa Plaisance,DAL,F,22,378,22,378,0.374,17.9,0.455,0.098,0.138,0.163,0.057,0.545,0.411,0.417,0.529,0.3,0.429,0.343,0.609,0.913,0,NA,/wnba/players/p/plaisth01w.html,2019
Alaina Coates,ATL,C,9,75,9,75,0.643,2.3,1,0.714,0.286,0,0,0,0.643,0.7,0.5,NA,NA,NA,0.667,NA,NA,NA,/wnba/players/c/coateal01w.html,2019
Theresa Plaisance,CON,F,9,64,9,64,0.348,13.2,0.739,0.087,0.348,0.261,0.043,0.261,0.353,0.5,0.375,0.167,1,0.333,0.833,1,0,NA,/wnba/players/p/plaisth01w.html,2019
Bridget Carleton,MIN,F,4,11,4,11,0.5,23.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.5,NA,1,0.5,1,/wnba/players/c/carlebr01w.html,2019
Asia Taylor,PHO,F,4,31,4,31,0,11.6,0.833,0.167,0.333,0.167,0.167,0.167,0,0,0,0,0,0,NA,NA,0,NA,/wnba/players/t/tayloas01w.html,2019
Kristine Anigwe,DAL,F-C,10,129,10,129,0.333,5.4,1,0.333,0.545,0.091,0.03,0,0.333,0.273,0.444,0,0,NA,0.727,NA,NA,NA,/wnba/players/a/anigwkr01w.html,2019
Karlie Samuelson,DAL,F,4,48,4,48,0.286,22.8,0.143,0,0.143,0,0,0.857,0,NA,0,NA,NA,0.333,NA,1,0.333,0.5,/wnba/players/s/samueka01w.html,2019
Jaylyn Agnew,ATL,F,12,71,12,71,0.267,22.6,0.133,0,0.067,0,0.067,0.867,0.5,NA,1,NA,0,0.231,1,1,0.154,0.5,/wnba/players/a/agnewja01w.html,2020
Monique Billings,ATL,F,22,596,22,596,0.4,7.6,1,0.235,0.453,0.182,0.129,0,0.4,0.575,0.403,0.258,0.273,NA,0.706,NA,NA,NA,/wnba/players/b/billimo01w.html,2020
Brittany Brewer,ATL,F,5,33,5,33,0.667,11.5,1,0.333,0,0.333,0.333,0,0.667,1,NA,1,0,NA,0.5,NA,NA,NA,/wnba/players/b/brewebr01w.html,2020
Kalani Brown,ATL,C,10,61,10,61,0.522,5.8,1,0.522,0.261,0.174,0.043,0,0.522,0.667,0.167,0.75,0,NA,0.75,NA,NA,NA,/wnba/players/b/brownka01w.html,2020
Chennedy Carter,ATL,G,16,406,16,406,0.473,11.6,0.857,0.116,0.388,0.179,0.174,0.143,0.49,0.731,0.529,0.375,0.359,0.375,0.181,0.333,0.063,0.5,/wnba/players/c/cartech01w.html,2020
Kaela Davis,ATL,F,2,2,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/daviska01w.html,2020
Blake Dietrick,ATL,G,22,463,22,463,0.471,17.2,0.442,0.115,0.212,0.048,0.067,0.558,0.5,0.583,0.545,0.4,0.286,0.448,0.217,0.846,0.121,0.714,/wnba/players/d/dietrbl01w.html,2020
Glory Johnson,ATL,F,18,277,18,277,0.373,17.7,0.494,0.048,0.205,0.133,0.108,0.506,0.488,0.75,0.647,0.182,0.444,0.262,0.7,1,0.024,0,/wnba/players/j/johnsgl01w.html,2020
Alexis Jones,ATL,G,6,53,6,53,0.381,24,0.095,0,0,0.048,0.048,0.905,0.5,NA,NA,0,1,0.368,0,0.571,0,NA,/wnba/players/j/jonesal01w.html,2020
Betnijah Laney,ATL,G-F,22,738,22,738,0.481,13.6,0.751,0.114,0.31,0.138,0.189,0.249,0.507,0.765,0.543,0.463,0.321,0.405,0.416,0.8,0.203,0.267,/wnba/players/l/laneybe01w.html,2020
Shekinna Stricklen,ATL,F,22,482,22,482,0.341,20.7,0.283,0.051,0.116,0.065,0.051,0.717,0.359,0.286,0.375,0.444,0.286,0.333,0.5,0.97,0.051,0.2,/wnba/players/s/stricsh01w.html,2020
Courtney Williams,ATL,G,20,615,20,615,0.436,14.9,0.889,0.039,0.192,0.277,0.381,0.111,0.462,0.5,0.525,0.365,0.496,0.235,0.421,0.75,0.088,0,/wnba/players/w/willico01w.html,2020
Elizabeth Williams,ATL,C-F,22,647,22,647,0.489,4.5,1,0.309,0.612,0.067,0.011,0,0.489,0.564,0.495,0.167,0,NA,0.724,NA,NA,NA,/wnba/players/w/williel01w.html,2020
Sydney Colson,CHI,G,17,110,17,110,0.455,15.3,0.591,0.091,0.364,0,0.091,0.409,0.538,0.5,0.375,NA,1,0.333,0.143,1,0,NA,/wnba/players/c/colsosy01w.html,2020
Kahleah Copper,CHI,G-F,22,688,22,688,0.496,12.2,0.771,0.169,0.308,0.128,0.165,0.229,0.541,0.778,0.512,0.324,0.523,0.344,0.523,1,0.197,0.583,/wnba/players/c/coppeka01w.html,2020
Diamond DeShields,CHI,G,13,224,13,224,0.434,12.5,0.783,0.145,0.349,0.084,0.205,0.217,0.508,0.917,0.414,0.571,0.353,0.167,0.636,1,0.389,0.286,/wnba/players/d/deshidi01w.html,2020
Stefanie Dolson,CHI,C,15,273,15,273,0.486,15.5,0.543,0.114,0.3,0.043,0.1,0.457,0.579,0.875,0.524,0.667,0.429,0.375,0.727,1,0,NA,/wnba/players/d/dolsost01w.html,2020
Ruthy Hebard,CHI,F,22,320,22,320,0.682,6.3,1,0.235,0.553,0.153,0.059,0,0.682,0.95,0.66,0.462,0.4,NA,0.828,NA,NA,NA,/wnba/players/h/hebarru01w.html,2020
Cheyenne Parker,CHI,F,20,497,20,497,0.554,9,0.817,0.229,0.48,0.074,0.034,0.183,0.573,0.8,0.5,0.308,0.667,0.469,0.72,0.933,0.063,0,/wnba/players/p/parkech01w.html,2020
