player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Karlie Samuelson,LAS,F,20,84,20,84,0.389,24.3,0.111,0,0,0.111,0,0.889,1,NA,NA,1,NA,0.313,0.5,0.8,0.063,0,/wnba/players/s/samueka01w.html,2018
Odyssey Sims,LAS,G,34,867,34,867,0.388,10.9,0.795,0.299,0.257,0.127,0.112,0.205,0.418,0.613,0.377,0.206,0.233,0.273,0.416,0.933,0.127,0.286,/wnba/players/s/simsod01w.html,2018
Maria Vadeeva,LAS,C,25,204,25,204,0.527,10.7,0.838,0.243,0.324,0.135,0.135,0.162,0.565,0.833,0.417,0.4,0.6,0.333,0.743,1,0.083,0,/wnba/players/v/vadeema01w.html,2018
Sydney Wiese,LAS,G,11,36,11,36,0,23.6,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0.5,0,/wnba/players/w/wiesesy01w.html,2018
Riquna Williams,LAS,G,33,546,33,546,0.407,19.3,0.357,0.116,0.095,0.055,0.09,0.643,0.465,0.739,0.368,0.273,0.333,0.375,0.515,0.979,0.125,0.375,/wnba/players/w/williri02w.html,2018
Seimone Augustus,MIN,G-F,33,864,33,864,0.467,16.2,0.802,0.057,0.141,0.189,0.416,0.198,0.504,0.789,0.468,0.524,0.468,0.318,0.548,0.952,0.212,0.429,/wnba/players/a/augusse01w.html,2018
Rebekkah Brunson,MIN,F,25,691,25,691,0.405,13.6,0.696,0.215,0.177,0.165,0.139,0.304,0.418,0.529,0.393,0.346,0.364,0.375,0.739,1,0.042,0,/wnba/players/b/brunsre01w.html,2018
Sydney Colson,MIN,G,2,17,2,17,0.429,13.8,0.714,0.143,0.143,0.429,0,0.286,0.6,1,1,0.333,NA,0,0,NA,0,NA,/wnba/players/c/colsosy01w.html,2018
Temi Fagbenle,MIN,C,30,283,30,283,0.506,7.8,1,0.455,0.13,0.221,0.195,0,0.506,0.657,0.5,0.471,0.2,NA,0.615,NA,NA,NA,/wnba/players/f/fagbete01w.html,2018
Sylvia Fowles,MIN,C,34,1087,34,1087,0.619,3.2,1,0.695,0.23,0.065,0.01,0,0.619,0.695,0.466,0.4,0.25,NA,0.747,NA,NA,NA,/wnba/players/f/fowlesy01w.html,2018
